check_id,result,evidence,owner,notes
ANA-011,OPEN,,enterprise test owner / model risk (corpus pack + model-builder test),"Nothing retained: no pack carries a matched-funding instrument (C06 has an industrial and a financing-subsidiary perimeter but no matched-funding debt), no model-builder test or registry assumption references matched funding, and no scorer dimension checks perimeter membership of debt in leverage. Needs a pack with an answer key and a calculation test."
ANA-012,OPEN,,enterprise test owner / model risk (corpus pack + model-builder test),"Nothing retained mentions non-debt funding float or a payables substitution; no pack, no test, no registry definition found. Needs the governed definition in the methodology plus a pack and a calculation test."
ANA-013,BLOCKED EXTERNAL,artifact:gates/qualification/host-control-verdict.txt;artifact:gates/qualification/host-control-matrix.txt;junit:caos.tests.spec.test_source_complete_modelling_spec::test_derived_periods_follow_the_governed_formulas_and_never_overwrite_a_reported_one;junit:caos.tests.spec.test_source_complete_modelling_spec::test_hard_bounds_apply_one_value_below_at_and_above_each_boundary[2-True];junit:caos.tests.spec.test_source_complete_modelling_spec::test_hard_bounds_apply_one_value_below_at_and_above_each_boundary[2.0001-False];junit:caos.tests.spec.test_model_builder_spec::test_golden_cp_model_fixtures_pass_vendor_validation,credit analysts / model risk (analyst-scope answer-key approval; REV-003),"The retained matrix scores every cell against draft answer keys attested only at host_control scope by the implementer; the verdict lists C01-C19 as needing an analyst-scope approval and C20-C22 as unpinned, so the keys are not independently computed. In-suite exact-value checks exist (LTM/YTD/BASE values such as '483.00'; registry hard bounds one value below/at/above each bound), but the bound tests are limit boundaries, not rounding boundaries, and no test drives a calculation at a displayed-precision rounding boundary against an external key."
ANA-014,OPEN,junit:caos.tests.spec.test_source_complete_modelling_spec::test_removing_the_quarterly_report_changes_the_input_and_the_lineage_but_no_output;junit:caos.tests.spec.test_source_complete_modelling_spec::test_removing_the_forecast_source_is_a_typed_model_refusal_never_a_default;junit:caos.tests.spec.test_source_complete_modelling_spec::test_removing_the_annual_report_refuses_at_the_source_gate;junit:caos.tests.spec.test_source_complete_modelling_spec::test_a_conflicting_document_refuses_the_whole_pack_and_admits_nothing;junit:caos.tests.spec.test_source_complete_modelling_spec::test_withdrawing_a_bound_source_revokes_the_model_and_leaves_the_audit_trail;junit:caos.tests.spec.test_distressed_model_overlay::test_withdrawn_snapshot_source_revokes_model_authority;junit:caos.tests.spec.test_misc_spec::test_confidence_discards_provider_scores_and_labels_declared_count_provenance;artifact:gates/qualification/evidence/host_control/C09/FULL_CREDIT-full,enterprise test owner,"Removed, conflicted and withdrawn evidence are proven to change the outcome in a typed way (source-gate refusal, CANONICAL_MODEL_INPUTS_INVALID, INTAKE_SOURCE_CONFLICT, lineage and fingerprint changes, C09 after-run withdrawal excludes the source from the next pin) and confidence is host-recomputed ignoring provider scores (source_gate fail -> not Passed, analyst_review_required). Missing: no 'downgraded' evidence path is tested at all, and no test asserts a materiality or confidence value moving in the direction an answer key specifies; the retained tests assert refusals and identity changes, not graded materiality/confidence deltas."
ANA-015,PROVED HOST CONTROL,artifact:gates/qualification/host-control-matrix.txt;artifact:gates/qualification/evidence/host_control/C02/FULL_CREDIT-full;artifact:gates/qualification/evidence/host_control/C05/FULL_CREDIT-full;junit:caos.tests.test_qualification_harness::test_unsupported_claim_and_forbidden_conclusion_fail_a_cell;junit:caos.tests.test_qualification_harness::test_a_refusal_cell_passes_only_with_its_declared_code;junit:caos.tests.spec.test_injection_spec::test_document_cannot_buy_an_answer_with_no_supplied_evidence;junit:caos.tests.test_runtime_calculations::test_sparse_or_legally_incomplete_pack_returns_a_typed_refusal[fail-SOURCE_EVIDENCE_INSUFFICIENT];junit:caos.tests.test_runtime_calculations::test_provider_cannot_forge_a_host_limitation_flag;junit:caos.tests.spec.test_model_builder_spec::test_allowed_unavailable_liquidity_degrades_to_named_nulls_not_zeros;junit:caos.tests.spec.test_source_complete_modelling_spec::test_removing_the_forecast_source_is_a_typed_model_refusal_never_a_default,enterprise test owner (live credential) / model risk,"Host control: the sparse pack C02 must refuse with SOURCE_EVIDENCE_INSUFFICIENT and never state 'committee-ready'/'recommend'; every succeeded cell fails if any number in the claim sections is untraceable to delivered evidence or calculation outputs (unsupported_claims dimension) or a forbidden adverse conclusion appears (C18: no 'covenant breach'/'going concern doubt' without evidence). In-suite: no-evidence output is AGENT_OUTPUT_INVALID after one repair; missing inputs become named nulls or typed refusals, never defaults. Invented prose filler without numbers is not mechanically checked."
ANA-016,OPEN,junit:caos.tests.spec.test_http_contracts_spec::test_snapshot_diff_entries_are_module_id_and_digest_only;junit:caos.tests.spec.test_misc_spec::test_newer_accepted_run_sets_switch_required_until_explicit_switch;junit:caos.tests.spec.test_source_complete_modelling_spec::test_every_pathway_overlays_its_declared_effect_on_the_full_credit_model;artifact:gates/qualification/evidence/host_control/C18/EARNINGS_UPDATE-full,enterprise test owner,"The case snapshot wire serves a 'diff' (added/removed/modified module digests and source_set_changed, api _snapshot_diff) but only its response shape is pinned; the switch test asserts switch_required, not the diff content, and no retained test accepts two analyses and asserts what the diff reports. Content-level change is the Earnings Update effect (EARNINGS_PERIOD_FORECAST_VARIANCE, C18 passes under host control), which is actual-versus-guidance, not prior-versus-current accepted analysis. Needs a behavioural diff test and, for a readable change summary, a design decision."
ANA-017,PASS,junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[normal];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[dense];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[long_text];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[multilingual];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[held];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[filed];junit:caos.tests.spec.test_deliverables_spec::test_full_credit_draft_composes_one_governed_decision_document;junit:caos.tests.spec.test_deliverables_spec::test_strict_schema_rejects_client_supplied_generated_values;junit:caos.tests.spec.test_deliverables_spec::test_draft_request_rejects_client_supplied_document_sections;junit:caos.tests.spec.test_deliverables_spec::test_http_request_changes_requires_approver_and_nonblank_comment_and_appends_commented_draft;junit:caos.tests.spec.test_publication_spec::test_frozen_payload_carries_the_signed_opinion_and_the_signer;junit:caos.tests.spec.test_model_builder_spec::test_sign_off_cas_is_append_only_with_separate_head_and_monotonic_order,enterprise test owner,"Every publication section carries an origin and the goldens assert 'Analyst judgment' versus 'Locked · model/artifact/system' labels in Markdown, PDF and XLSX for six states; analyst narrative is ANALYST_JUDGMENT content mode while generated sections are locked (editable=false) and client-supplied generated values or sections are refused; the opinion is a separate signed record carried with its signer; approver comments land in a traceable replacement draft; analyst model revisions are append-only records distinct from the application build. Browser-side distinction was exercised only against fixture-mocked deliverable routes (the workbench report records status/timing only)."
ANA-018,PASS,junit:caos.tests.spec.test_publication_spec::test_opinion_requires_every_statement_non_blank[opinion];junit:caos.tests.spec.test_publication_spec::test_opinion_requires_every_statement_non_blank[limitations];junit:caos.tests.spec.test_publication_spec::test_opinion_requires_every_statement_non_blank[material_overrides];junit:caos.tests.spec.test_publication_spec::test_opinion_requires_every_statement_non_blank[rationale];junit:caos.tests.spec.test_publication_spec::test_opinion_signoff_is_an_append_only_expected_head_cas_bound_to_the_exact_revision;junit:caos.tests.spec.test_publication_spec::test_freeze_requires_a_current_opinion_and_refuses_a_stale_one;junit:caos.tests.spec.test_publication_spec::test_http_freeze_returns_the_job_and_the_workspace_tracks_it_to_a_frozen_record,enterprise test owner,"The sign-off request requires all four statements (opinion, limitations, material_overrides, rationale) as non-blank BoundaryText (blank and bidi-override refused at the contract), the signed record stores them and freeze refuses OPINION_SIGNOFF_REQUIRED without a current one; the HTTP route round-trips the same fields."
ANA-019,PASS,junit:caos.tests.spec.test_publication_spec::test_freeze_requires_a_current_opinion_and_refuses_a_stale_one;junit:caos.tests.spec.test_publication_spec::test_frozen_payload_carries_the_signed_opinion_and_the_signer;junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[normal];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[dense];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[long_text];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[multilingual];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[held];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[filed];junit:caos.tests.spec.test_misc_spec::test_cp2g_emits_handoff_without_fabricated_workbook_values_or_signing_claims;junit:caos.tests.spec.test_deliverables_spec::test_filed_exports_are_byte_exact_sha_verified_and_never_rerendered,enterprise test owner,"Nothing freezes without a current sign-off (OPINION_SIGNOFF_REQUIRED/STALE), the frozen masthead names the opinion owner and reads PENDING APPROVAL in every format, pre-filing downloads are refused (409), and module output may carry no sign-off claim. The browser's disabled Freeze control before sign-off was exercised only against fixture-mocked routes."
ANA-020,PASS,junit:caos.tests.spec.test_publication_spec::test_opinion_signoff_is_an_append_only_expected_head_cas_bound_to_the_exact_revision;junit:caos.tests.spec.test_publication_spec::test_opinion_binds_only_the_head_revision_and_live_evidence;junit:caos.tests.test_postgres_races::test_opinion_sign_off_race_leaves_one_head,enterprise test owner,"opinion_history retains the superseded opinion beside its successor (supersedes_opinion_id), UPDATE/DELETE on deliverable_opinions are refused by APPEND_ONLY triggers, and each opinion binds the exact draft revision digest, accepted snapshot id, source-set id/version, model-identity digest and methodology build, digested over the whole record; the two-connection PostgreSQL race leaves one head. The supporting snapshot itself is retained by the immutable runs store and referenced by id."
PUB-001,PASS,junit:caos.tests.spec.test_deliverables_spec::test_full_credit_draft_composes_one_governed_decision_document;junit:caos.tests.spec.test_deliverables_spec::test_draft_fails_closed_without_upstream_accepted_authority;junit:caos.tests.spec.test_deliverables_spec::test_template_registry_serves_six_pathways_with_stable_identity_and_evidence_register;junit:caos.tests.spec.test_deliverables_spec::test_model_selection_pins_current_revision_and_fallback_requires_acknowledged_no_revision_state;junit:caos.tests.spec.test_deliverables_spec::test_selection_must_resolve_to_exact_stored_revision_and_build_records;junit:caos.tests.spec.test_deliverables_spec::test_live_model_builder_authority_feeds_eligibility_selection_scenario_and_freeze;junit:caos.tests.spec.test_deliverables_spec::test_composition_verifies_accepted_artifact_bytes_before_saving,enterprise test owner,"A draft composes from the accepted snapshot's verified artifacts (fails closed without accepted authority or on a forged artifact digest), the registry template, and a model selection that must resolve to the exact validated build or signed revision (MODEL_REVISION_STALE / MODEL_BUILD_STALE otherwise). 'Qualified' here means validated build or signed revision; live-model qualification of the underlying analysis is external (MOD family)."
PUB-002,PASS,junit:caos.tests.spec.test_deliverables_spec::test_client_invented_optional_kind_or_slot_is_rejected[heading_in_optional_slot];junit:caos.tests.spec.test_deliverables_spec::test_client_invented_optional_kind_or_slot_is_rejected[narrative_in_optional_slot];junit:caos.tests.spec.test_deliverables_spec::test_client_invented_optional_kind_or_slot_is_rejected[invented_slot_id];junit:caos.tests.spec.test_deliverables_spec::test_optional_blocks_out_of_template_declared_order_are_rejected;junit:caos.tests.spec.test_deliverables_spec::test_template_owns_optional_block_kind_stem_cap_order_and_model_dependence;junit:caos.tests.spec.test_deliverables_spec::test_ungoverned_metric_ids_and_chart_recipe_fields_are_rejected;junit:caos.tests.spec.test_deliverables_spec::test_optional_block_cannot_collide_with_a_canonical_document_section;junit:caos.tests.spec.test_deliverables_spec::test_draft_request_rejects_client_supplied_document_sections,enterprise test owner,"Only template-declared optional kinds, slots, caps and order are accepted (DELIVERABLE_SLOT_INVALID, DELIVERABLE_TEMPLATE_ORDER_INVALID), ungoverned metric ids and chart recipe fields are refused, and client-supplied document sections are a 422."
PUB-003,PASS,junit:caos.tests.spec.test_deliverables_spec::test_citations_resolve_same_case_existing_non_withdrawn_blocks;junit:caos.tests.spec.test_deliverables_spec::test_generated_metric_outputs_are_rebuilt_server_side_from_pinned_revision;junit:caos.tests.spec.test_deliverables_spec::test_forged_scenario_outputs_raise_calculation_mismatch;junit:caos.tests.spec.test_deliverables_spec::test_scenario_digest_must_equal_server_computed_digest;junit:caos.tests.spec.test_deliverables_spec::test_annual_model_generated_table_uses_only_selected_server_outputs;junit:caos.tests.spec.test_deliverables_spec::test_composition_verifies_accepted_artifact_bytes_before_saving;junit:caos.tests.spec.test_deliverables_spec::test_strict_schema_rejects_client_supplied_generated_values,enterprise test owner,"Citations must resolve to same-case, existing, non-withdrawn blocks before a save appends; generated metrics, tables and scenario exhibits are rebuilt server-side from the pinned revision and refused on digest or calculation mismatch; accepted artifact bytes are re-verified at composition."
PUB-004,PASS,junit:caos.tests.spec.test_deliverables_spec::test_full_credit_draft_composes_one_governed_decision_document;junit:caos.tests.spec.test_deliverables_spec::test_canonical_document_is_the_only_cross_format_export_source;junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[normal];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[dense];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[long_text];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[multilingual];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[held];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[filed];junit:caos.tests.spec.test_publication_spec::test_frozen_payload_carries_the_signed_opinion_and_the_signer,enterprise test owner,"Analyst narrative and the opinion are ANALYST-origin, editable sections; generated fact and model sections are locked with MODEL/ARTIFACT origin; the origin labels survive into Markdown, PDF and XLSX (goldens) and the opinion leads the decision page."
PUB-005,PASS,junit:caos.tests.spec.test_publication_spec::test_opinion_signoff_is_an_append_only_expected_head_cas_bound_to_the_exact_revision;junit:caos.tests.spec.test_publication_spec::test_opinion_requires_every_statement_non_blank[material_overrides];junit:caos.tests.spec.test_publication_spec::test_freeze_requires_a_current_opinion_and_refuses_a_stale_one;junit:caos.tests.spec.test_publication_spec::test_the_opinion_signer_and_the_freeze_actor_cannot_file_their_own_output;junit:caos.tests.spec.test_publication_spec::test_analyst_judgment_cannot_carry_an_uncited_quantitative_fact[Leverage was 4.2x at FY2025.],enterprise test owner,"The external opinion exists only as a named analyst's signed record carrying opinion, limitations, material_overrides and rationale, bound to the exact revision; freeze and filing carry the signer. The material_overrides statement is required non-blank but no test links it to the concrete model overrides in the analyst revision."
PUB-006,PASS,junit:caos.tests.spec.test_deliverables_spec::test_stale_expected_version_is_atomic_cas_conflict_carrying_current_head;junit:caos.tests.spec.test_deliverables_spec::test_restore_appends_new_revision_and_history_stays_byte_identical;junit:caos.tests.spec.test_deliverables_spec::test_saved_revision_digest_is_digest_of_content_and_order_violation_appends_nothing;junit:caos.tests.spec.test_deliverables_spec::test_http_stale_draft_put_returns_409_with_current_revision_and_by_id_read_round_trips;junit:caos.tests.test_postgres_races::test_draft_save_race_conflict_carries_the_committed_head,enterprise test owner,"Saves are content-addressed revisions appended under an expected-version CAS; racing saves yield one winner and one typed conflict carrying the committed head, on SQLite and on two PostgreSQL connections."
PUB-007,PASS,junit:caos.tests.spec.test_deliverables_spec::test_stale_expected_version_is_atomic_cas_conflict_carrying_current_head;junit:caos.tests.spec.test_deliverables_spec::test_http_stale_draft_put_returns_409_with_current_revision_and_by_id_read_round_trips;junit:caos.tests.spec.test_deliverables_spec::test_saved_revision_digest_is_digest_of_content_and_order_violation_appends_nothing,enterprise test owner,The losing save appends no revision and no deliverable.draft.saved audit event (exactly one event per appended revision); a stale HTTP PUT is a 409 with the current revision embedded; an order violation appends nothing.
PUB-008,OPEN,junit:caos.tests.spec.test_deliverables_spec::test_restore_appends_new_revision_and_history_stays_byte_identical;junit:caos.tests.spec.test_deliverables_spec::test_stored_revisions_are_isolated_from_later_caller_mutation;junit:caos.tests.spec.test_deliverables_spec::test_change_request_revision_conflict_rolls_back_frozen_and_thread_transition;junit:caos.tests.spec.test_deliverables_spec::test_filing_rejects_a_frozen_fallback_after_an_analyst_revision_becomes_active;junit:caos.tests.spec.test_publication_spec::test_opinion_binds_only_the_head_revision_and_live_evidence,enterprise test owner,"Later edits and restores are proven to leave prior revisions byte-identical. After a source withdrawal the tests assert only that sign-off and citation saves are refused (EVIDENCE_SOURCE_WITHDRAWN); after model supersession only that filing is refused (FROZEN_MODEL_AUTHORITY_STALE); neither reads revision_history back. deliverable_revisions has no append-only trigger test (the tamper test writes the row directly). Needs a test that withdraws a cited source and supersedes the model, then asserts the full history is still served unchanged."
PUB-009,OPEN,junit:caos.tests.spec.test_publication_spec::test_freeze_requires_a_current_opinion_and_refuses_a_stale_one;junit:caos.tests.spec.test_publication_spec::test_superseded_upstream_authority_invalidates_the_signoff;junit:caos.tests.spec.test_deliverables_spec::test_model_selection_pins_current_revision_and_fallback_requires_acknowledged_no_revision_state;junit:caos.tests.spec.test_deliverables_spec::test_freeze_recomposes_and_rejects_document_authority_drift;junit:caos.tests.spec.test_model_builder_spec::test_newer_accepted_build_stales_revisions_and_rebase_preview_is_transient,enterprise test owner / design owner,"Snapshot, source-set and draft-revision changes are surfaced as a stale opinion state with typed reasons (ACCEPTED_SNAPSHOT_CHANGED, SOURCE_SET_CHANGED, DRAFT_REVISION_CHANGED) and freeze refuses; a moved model revision is a typed refusal at save, freeze and filing. Not covered: the draft itself carries no stale marker (staleness lives on the opinion state), and no test changes the template or the methodology authority under a draft (templates are static in the registry; runs pin the build). Needs a design call on the draft-level marker plus template/methodology staleness tests."
PUB-010,PASS,junit:caos.tests.spec.test_publication_spec::test_freeze_requires_a_current_opinion_and_refuses_a_stale_one;junit:caos.tests.spec.test_publication_spec::test_superseded_upstream_authority_invalidates_the_signoff;junit:caos.tests.spec.test_deliverables_spec::test_freeze_recomposes_and_rejects_document_authority_drift;junit:caos.tests.spec.test_deliverables_spec::test_model_selection_pins_current_revision_and_fallback_requires_acknowledged_no_revision_state,enterprise test owner,"Freeze is refused while any bound authority (draft revision, source set, accepted snapshot, model identity, methodology) is stale and succeeds only after the analyst re-signs on the current revision; an application-build fallback requires an explicit acknowledgement. Acknowledgement is the re-sign binding all authorities at once, not a per-dependency acknowledgement record."
