check_id,result,evidence,owner,notes
AUD-011,PASS,junit:caos.tests.spec.test_audit_chain_spec::test_audit_rows_refuse_update_and_delete_at_the_database_boundary; junit:caos.tests.spec.test_audit_chain_spec::test_a_failed_governed_write_leaves_no_chain_gap; junit:caos.tests.spec.test_audit_chain_spec::test_concurrent_governed_writes_never_fork_the_chain; junit:caos.tests.spec.test_audit_chain_spec::test_legacy_unchained_rows_are_backfilled_once_and_idempotently; junit:caos.tests.test_store::test_governed_writes_commit_state_and_audit_together; junit:caos.tests.test_store::test_promotion_rolls_back_atomically_on_downstream_failure; junit:caos.tests.test_source_ingestion::test_ingestion_rolls_back_atomically_when_persistence_fails; junit:caos.tests.spec.test_runs_spec::test_acceptance_rolls_back_snapshot_both_pointers_and_audit_as_one_unit,,"UPDATE and DELETE on audit_events abort at the database boundary (APPEND_ONLY triggers; the SQLite and PostgreSQL DDL both exist and the legacy-table path re-arms them after backfill). The audit row rides the governed write's own transaction: an injected failure after the audit insert leaves no source, no source set, no promoted note, no snapshot, no pointer move and no audit row (acceptance rolls back snapshot, both pointers and audit as one unit), a refused duplicate appends nothing, and twelve concurrent governed writes extend one contiguous chain that verifies."
AUD-012,PASS,junit:caos.tests.spec.test_audit_chain_spec::test_tampering_under_disarmed_triggers_is_detected[delete]; junit:caos.tests.spec.test_audit_chain_spec::test_tampering_under_disarmed_triggers_is_detected[reorder]; junit:caos.tests.spec.test_audit_chain_spec::test_tampering_under_disarmed_triggers_is_detected[mutate]; junit:caos.tests.spec.test_audit_chain_spec::test_tampering_under_disarmed_triggers_is_detected[insert]; junit:caos.tests.spec.test_audit_chain_spec::test_tampering_under_disarmed_triggers_is_detected[head]; junit:caos.tests.spec.test_audit_package_spec::test_offline_verifier_convicts_every_tamper_class[audit_reorder]; junit:caos.tests.spec.test_audit_package_spec::test_offline_verifier_convicts_every_tamper_class[audit_mutate]; junit:caos.tests.test_postgres_races::test_event_sequence_allocation_serializes_two_writers_on_one_run; junit:caos.tests.spec.test_runs_spec::test_event_log_is_per_run_monotonic_with_legacy_names_and_single_terminal; junit:caos.tests.spec.test_runs_spec::test_a_terminal_failure_leaves_no_node_claiming_in_flight_work[CP-1]; junit:caos.tests.spec.test_runs_spec::test_crash_between_store_commit_and_checkpoint_write_yields_one_artifact_one_charge; junit:caos.tests.spec.test_runs_spec::test_snapshot_rejects_forged_succeeded_run; junit:caos.tests.spec.test_state_spec::test_stale_or_late_resume_returns_typed_not_applied,,"Missing sequence numbers: AUDIT_CHAIN_SEQUENCE_BROKEN on a deleted row (store) and on a reordered audit/events.jsonl (offline verifier); run-event seq is contiguous and unique under two writers. Duplicate terminal events: exactly one run.succeeded/run.failed after a normal run, after a crash in the commit gap and after fan-out failure reconciliation. Broken digest links: AUDIT_CHAIN_LINK_BROKEN, AUDIT_EVENT_DIGEST_MISMATCH and AUDIT_CHAIN_HEAD_MISMATCH convict mutate/insert/reorder/head tampering with the triggers disarmed. Impossible transitions: accepting a run whose node artifact is forged is RUN_NOT_READY, a stale or late resume is the typed RESUME_NOT_APPLIED, and every run-state event rides a conditional transition so zero rows updated mints no event."
AUD-013,OPEN,junit:caos.tests.spec.test_audit_chain_spec::test_events_without_a_case_ride_the_global_chain,application team (store: audit referential validation),"No retained test asserts such a refusal and no mechanism exists to assert: audit_events has no foreign key to cases, actors or artifacts; _chain_key_for routes any non-empty case_id string to a chain, and an event without a case is accepted by design onto the global chain (the cited test proves that acceptance, not a refusal); actor, artifact and authority identifiers are free strings validated only for wire shape. Governed paths refuse an unknown case before they audit, but audit_event() itself accepts a nonexistent case, actor, artifact or authority. Missing: existence validation (or a foreign key) for case, actor, artifact and authority references at audit insert, a typed refusal, and a test."
AUD-014,PASS,junit:caos.tests.spec.test_simulations_spec::test_sim_027_a_wall_clock_jump_never_reorders_events_or_charges_time_twice; junit:caos.tests.spec.test_budget_spec::test_gate_wait_accrues_zero_active_time_while_compute_is_charged; junit:caos.tests.test_finalization_metering::test_throwing_host_operations_charge_active_time; junit:caos.tests.test_finalization_metering::test_final_validation_is_charged_before_run_success; junit:caos.tests.spec.test_audit_chain_spec::test_governed_writes_extend_a_contiguous_per_case_hash_chain,,"With the wall clock injected to jump backward and forward, run-event order is the sequence (1..n) and never the clock, run.created stays first and the terminal event last, the recorded at-stamps are preserved exactly as observed (the jumps stay visible in the log), and active_minutes is charged from the monotonic clock and never negative. An hour parked at a human gate accrues zero active time while host compute and finalization are charged by the monotonic bracket. Audit rows are ordered by chain_seq, not at. Durations are the ledger's active_minutes, a quantity separate from the ISO at timestamps on events and audit rows."
AUD-015,PASS,junit:caos.tests.spec.test_budget_spec::test_secret_bearing_provider_failure_never_persists_secret_or_evidence_text; junit:caos.tests.spec.test_audit_package_spec::test_package_holds_no_source_text_vault_path_secret_or_provider_body; junit:caos.tests.spec.test_simulations_spec::test_sim_024_provider_failures_end_typed_sanitized_and_bounded[401]; junit:caos.tests.spec.test_publication_spec::test_a_rendering_failure_leaves_a_typed_failed_job_and_no_frozen_record; junit:caos.tests.spec.test_evidence_spec::test_no_refusal_leaks_evidence_text_or_leaves_a_citation_expectation[withdrawn]; junit:caos.tests.spec.test_observability_spec::test_an_output_validation_failure_never_logs_the_text_it_rejected; junit:caos.tests.spec.test_observability_spec::test_registered_secrets_are_redacted_from_every_string_that_reaches_a_log_line; junit:caos.tests.spec.test_runs_spec::test_response_identity_substitution_reconciles_and_audits_before_refusal,,"Secrets and tokens: a provider failure whose message carries an API key persists neither the key nor evidence text in any of the run's serialized records; the audit package carries no session or edge secret, api_key or authorization string, and registered secrets are redacted from every log string. Provider error bodies: the faulting provider's body (with an embedded token and host) never reaches any persisted record, only the typed terminal_code; a renderer crash message never reaches the typed failed job. Rejected source text: every refused read leaves no text in rows, exception chain or ledger, and rejected module output is never logged. Hidden chain-of-thought: no provider response body is ever persisted (attempt rows carry a 64-hex response_digest and usage only; the package holds no prompt or messages body) and no adapter requests extended thinking, but no retained test targets a thinking block specifically."
AUD-016,PASS,junit:caos.tests.spec.test_audit_package_spec::test_package_is_case_authorized_audited_and_offline_verifiable_in_a_clean_directory; junit:caos.tests.spec.test_audit_package_spec::test_offline_verifier_convicts_every_tamper_class[export_bytes]; junit:caos.tests.spec.test_audit_package_spec::test_offline_verifier_convicts_every_tamper_class[manifest_gap]; junit:caos.tests.spec.test_audit_package_spec::test_package_holds_no_source_text_vault_path_secret_or_provider_body,,"GET /api/cases/{id}/audit-package serves a zip (404 to a non-member admin; audited as audit.package_exported with its sha256; x-caos-sha256 over the bytes) holding case/sources.json and case/intakes.json (source dispositions with text as digests), runs/index.json plus per-run plan/nodes/artifacts/events/budget/snapshot, models/builds.json and revisions.json with READY workbooks, deliverables revisions/opinions/frozen/receipts/exports and the exact filed bytes, audit/events.jsonl and head.json, methodology.json, environment.json, and a manifest.json whose objects cover every member with sha256 and size (a changed export byte is OBJECT_DIGEST_MISMATCH, a dropped member OBJECT_MISSING). Proven on an in-suite filed fixture case; no package has been exported from the frozen candidate stack (stack-gates: frozen 0, receipts 0)."
AUD-017,OPEN,artifact:gates/stack/stack-gates.txt; junit:caos.tests.spec.test_audit_package_spec::test_package_is_case_authorized_audited_and_offline_verifiable_in_a_clean_directory; junit:caos.tests.spec.test_audit_package_spec::test_offline_verifier_convicts_every_tamper_class[manifest_gap]; junit:caos.tests.spec.test_audit_package_spec::test_verifier_renderer_copy_is_byte_identical_to_the_application_renderer; junit:caos.tests.spec.test_audit_package_spec::test_verifier_reports_an_unreadable_package_without_a_traceback,decision owner (golden journeys on the frozen stack),"In-suite the verifier runs from a clean directory under an isolated interpreter (-I, PYTHONPATH stripped) with only verify_package.py and the zip, imports no application code, recomputes every manifest object digest and convicts a missing member and every tamper class. But no audit package exists from the frozen candidate stack: stack-gates.txt records frozen 0 and receipts 0, and the golden journeys through freeze, filing, receipt and offline verification were not run on this candidate, so nothing was transferred to a separate review machine and verified there. Missing: an exported candidate package, its transfer, and a retained verifier report from the review machine."
AUD-018,BLOCKED EXTERNAL,artifact:reviews/REV-012.md; artifact:gates/corpus-full.txt; artifact:gates/stack/stack-gates.txt,independent audit reviewer (REV-012),"REV-012 (audit reconstruction exercise) is OUTSTANDING: prepared 2026-09-03, returned by the reviewer, never filled in; it is the independent reconstruction of the sampled result for every pathway/depth sample and every filed format from the package and verify_package.py alone. The corpus-full gate ran every executable route (35 passed) but retained no audit package, and the stack holds no frozen deliverable or receipt, so the reviewer also depends on the golden journeys producing a package. In-suite the verifier reconstructs the Markdown export byte for byte from the frozen payload and checks run plan and snapshot digests, model payload digests and receipts without provider access: test_audit_package_spec::test_package_is_case_authorized_audited_and_offline_verifiable_in_a_clean_directory, ::test_offline_verifier_convicts_every_tamper_class[frozen_payload], ::test_verifier_renderer_copy_is_byte_identical_to_the_application_renderer."
AUD-019,BLOCKED EXTERNAL,artifact:reviews/REV-012.md,independent audit reviewer (REV-012),"The comparison on this candidate's sampled runs is the reviewer's REV-012 deliverable, outstanding. In-suite, byte-for-byte comparison is implemented and proven for the deterministic Markdown export (MARKDOWN_RECONSTRUCTION_MISMATCH and EXPORT_DIGEST_MISMATCH convict a one-word change: test_audit_package_spec::test_offline_verifier_convicts_every_tamper_class[export_bytes]; the renderer copy is pinned byte-identical by ::test_verifier_renderer_copy_is_byte_identical_to_the_application_renderer). PDF and XLSX exports are compared by recorded digest only, not re-rendered, and the verifier has no canonical-contract comparison for nondeterministic model prose (it checks frozen payload digests, not schema-level equivalence), which the reviewer must note under question 2."
AUD-020,OPEN,junit:caos.tests.spec.test_source_complete_modelling_spec::test_a_used_document_that_nothing_consumed_is_a_typed_incomplete_model_never_ready; junit:caos.tests.spec.test_publication_spec::test_http_uncited_judgment_fact_is_a_typed_422; junit:caos.tests.spec.test_publication_spec::test_analyst_judgment_cannot_carry_an_uncited_quantitative_fact[Leverage was 4.2x at FY2025.],decision owner (release gate),"No release-level gate exists that fails the candidate when a published machine-derived claim lacks a complete audit path: nothing in CI, the candidate MANIFEST or the quality ledger evaluates audit-path completeness, and this candidate published nothing (stack-gates: frozen 0, receipts 0). What exists are per-object refusals: a build with a used document bound to nothing is MODEL_SOURCE_LINEAGE_INCOMPLETE and never READY, and a freeze refuses an ANALYST_JUDGMENT narrative that states an uncited figure (ANALYST_JUDGMENT_UNCITED_FACT). Missing: a defined release gate (which claims, what a complete audit path means, who runs it) and its retained result on a candidate package."
