check_id,result,evidence,owner,notes
EVD-011,PROVED HOST CONTROL,junit:caos.tests.spec.test_modules_spec::test_canonical_output_schema_is_strict_and_bounded; junit:caos.tests.spec.test_injection_spec::test_document_cannot_buy_an_answer_with_no_supplied_evidence; junit:caos.tests.spec.test_evidence_spec::test_returned_rows_carry_provenance_and_the_delivered_set_is_the_citation_contract; junit:caos.tests.spec.test_modules_spec::test_model_facing_tables_may_cite_only_returned_sources; junit:caos.tests.test_runtime_calculations::test_runtime_rejects_fixed_prose_without_model_facing_source_attribution; junit:caos.tests.test_runtime_calculations::test_runtime_rejects_model_facing_tables_with_undelivered_source_ids; artifact:gates/qualification/host-control-matrix.txt; artifact:gates/qualification/host-control-verdict.txt,enterprise test owner (live credential) / model risk,"Host-enforced: evidence_refs min 1 per envelope, refs must equal the delivered set exactly, model-facing tables must carry returned source ids, fixed prose without model-facing attribution is refused. Per-STATEMENT citation is model behaviour; the retained proof is the harness 'unsupported_claims' dimension (every number in claim sections traceable to delivered evidence or a calculation output) passing on 32 cells under the answer-keyed host-control binding."
EVD-012,PROVED HOST CONTROL,artifact:gates/qualification/host-control-matrix.txt; artifact:gates/qualification/evidence/host_control/C03/FULL_CREDIT-full/rep-1-20260903T235339Z.json; junit:caos.tests.spec.test_evidence_spec::test_returned_rows_carry_provenance_and_the_delivered_set_is_the_citation_contract; junit:caos.tests.spec.test_modules_spec::test_model_facing_tables_may_cite_only_returned_sources,enterprise test owner (live credential) / model risk,"The host carries value/unit/period/source/locator on the answer key and the delivered rows (source_id, source_digest, block_id, locator, extractor_version), and the 'facts' dimension links each expected fact (F1-F3 on C03, incl. value, unit, period, source) to a cited block; unsupported_claims traces every number. Partial even under host control: currency and entity are not independently scored, and the canonical envelope has no per-number schema - retention is asserted on markdown match strings."
EVD-013,OPEN,junit:caos.tests.spec.test_evidence_spec::test_forged_citation_outside_delivered_set_is_rejected_at_canonicalization; junit:caos.tests.spec.test_injection_spec::test_citation_to_an_undelivered_block_is_refused; junit:caos.tests.spec.test_modules_spec::test_model_facing_tables_may_cite_only_returned_sources; junit:caos.tests.test_runtime_calculations::test_provider_cannot_claim_an_undelivered_or_duplicate_calculation; junit:caos.tests.test_canonical_calculations::test_calculation_ref_requires_exact_lowercase_sha256; junit:caos.tests.test_canonical_calculations::test_calculation_ref_is_strict_and_immutable; junit:caos.tests.spec.test_modules_spec::test_canonical_output_schema_is_strict_and_bounded; junit:caos.tests.test_audit_regressions::test_freeze_refuses_a_citation_whose_source_was_withdrawn_after_save; junit:caos.tests.test_store::test_withdrawal_stales_citing_assumptions_and_bans_new_citations,engine test owner (spec/test_modules_spec.py or test_evidence_spec.py),"Proven: fabricated and unreturned evidence citations refused (declared set must equal the delivered set), undelivered/duplicate CALCULATION refs refused, malformed refs refused by the bounded EvidenceRef/CalculationRef schemas, withdrawn citations refused on assumptions and deliverables, foreign-case citations structurally impossible (the delivered set only holds authorized reads). Missing: no retained test feeds duplicate evidence_refs pairs to validate_citations/canonicalization and asserts the refusal - the branch exists (len(pairs) != len(set(pairs))) but is unpinned."
EVD-014,PROVED HOST CONTROL,artifact:gates/qualification/evidence/host_control/C03/FULL_CREDIT-full/rep-1-20260903T235339Z.json; artifact:gates/qualification/evidence/host_control/C05/FULL_CREDIT-full/rep-1-20260903T235345Z.json; artifact:gates/qualification/host-control-matrix.txt,enterprise test owner (live credential) / model risk,"C03 (two sources disagree on total debt): facts F2 (3,400 per the annual report) and F3 (3,650 per the debt schedule) both linked and cited, conflict K1 named once in 'Gaps & Conflicts', forbidden 'reconciled' phrasing absent - all under the answer-keyed host-control provider, which writes the conflict itself. No host mechanism detects a figure conflict; a live model must produce the preservation and the single conflict entry."
EVD-015,PASS,junit:caos.tests.spec.test_model_builder_spec::test_allowed_unavailable_liquidity_degrades_to_named_nulls_not_zeros; junit:caos.tests.spec.test_model_builder_spec::test_zero_denominators_yield_none_metrics_and_nonfinite_cp1_fails_validation; junit:caos.tests.spec.test_model_builder_spec::test_missing_required_forecast_driver_raises_typed_error; junit:caos.tests.spec.test_model_builder_spec::test_finite_guards_reject_non_finite_and_zero_denominators; junit:caos.tests.spec.test_source_complete_modelling_spec::test_removing_the_forecast_source_is_a_typed_model_refusal_never_a_default; junit:caos.tests.test_runtime_calculations::test_incomplete_non_core_calculation_completes_the_module_as_a_declared_limitation,retained suite - no action,"An UNAVAILABLE assumption yields None for every dependent output and the workbook omits the cells ('omitted, never zero-filled'); zero denominators yield None metrics; a missing required driver is a typed error naming the driver; an absent forecast source is UNAVAILABLE / MANAGEMENT_GUIDANCE_UNAVAILABLE, never a default; an incomplete calculator is a declared limitation. Prose-level 'not disclosed' (e.g. C05's undisclosed GBP rate) is host-control only."
EVD-016,PROVED HOST CONTROL,artifact:gates/qualification/evidence/host_control/C16/FULL_CREDIT-full/rep-1-20260903T235407Z.json; artifact:gates/qualification/host-control-matrix.txt,enterprise test owner (live credential) / model risk,"C16 (post-period refinancing and disposal): F1 post-period maturity 2032-03-15 and F2 FY2024 reported maturity 2030-03-15 both linked, conflict K1 'Subsequent event' handled, forbidden restatement 'FY2024 maturity of March 15, 2032' absent - produced by the answer-keyed provider. The host has no date-based subsequent-event flag; the manifest role 'subsequent' is fixture metadata, not a runtime mechanism."
EVD-017,OPEN,junit:caos.tests.spec.test_misc_spec::test_confidence_discards_provider_scores_and_labels_declared_count_provenance; junit:caos.tests.spec.test_evidence_spec::test_returned_rows_carry_provenance_and_the_delivered_set_is_the_citation_contract; junit:caos.tests.spec.test_injection_spec::test_a_document_cannot_talk_a_blocked_module_into_qa_passed,methodology owner with the decision owner (vocabulary in CONTEXT.md),"Proven: source authority (authority_class, source_digest) and extraction confidence (per-block confidence, extractor_version) are distinct fields on every delivered row, and host-recomputed confidence discards provider-asserted authority/score. Missing: 'prepared-representation fidelity' has no definition in CONTEXT.md and no retained test names a fidelity measure for a prepared representation (a loan workbook, an intake pack) distinct from extraction confidence."
EVD-018,OPEN,junit:caos.tests.spec.test_runs_spec::test_acceptance_rejects_corrupted_uploaded_source_bytes; junit:caos.tests.test_source_ingestion::test_existing_source_vault_corruption_is_never_reused_or_read; junit:caos.tests.spec.test_evidence_spec::test_returned_rows_carry_provenance_and_the_delivered_set_is_the_citation_contract,audit/publishing owner (caos/server/caos/audit/verify_package.py),"Proven: the stored source bytes are re-hashed against the pinned sha256 at acceptance and before reuse, and each delivered row carries locator + extractor_version. Missing: nothing re-extracts a cited block from the vault bytes at its locator and compares it to the cited text; the offline verifier re-renders the Markdown export and recomputes export digests but holds no source text by design (test_package_holds_no_source_text_vault_path_secret_or_provider_body)."
EVD-019,PASS,junit:caos.tests.spec.test_runs_spec::test_replay_from_same_pinned_sources_and_build_is_equivalent_by_the_same_path; junit:caos.tests.spec.test_runs_spec::test_worker_killed_mid_run_resumes_from_last_checkpoint_not_restart; junit:caos.tests.spec.test_simulations_spec::test_sim_022_absent_checkpoint_recovers_from_domain_truth_without_re_executing_finished_modules; junit:caos.tests.spec.test_simulations_spec::test_sim_030_a_restart_loop_during_active_work_recovers_idempotently_and_bounded; junit:caos.tests.spec.test_state_spec::test_single_time_authority_survives_a_day_boundary,retained suite - no action,"Two runs from the same pins produce byte-equal evidence_refs and markdown by the same path; after a kill (and after an absent checkpoint) the finished modules' (module, digest) artifacts are unchanged and never re-executed, so their read results are the pre-restart ones; a module re-run across a day boundary reproduces the digest. Weak point: no test diffs the delivered rows of a module executed after a restart against the same module in an uninterrupted run."
EVD-020,OPEN,junit:caos.tests.spec.test_evidence_spec::test_returned_rows_carry_provenance_and_the_delivered_set_is_the_citation_contract; junit:caos.tests.spec.test_evidence_spec::test_the_run_error_surface_carries_a_code_and_never_a_message; junit:caos.tests.spec.test_observability_spec::test_a_refused_read_logs_its_typed_code_and_none_of_the_document,"engine/storage owner (engine/evidence.py on_read, storage/runs.py)","No per-read audit record exists: a read is charged to the budget ledger as evidence_reads +1 and evidence_bytes +n (Engine on_read), a successful read leaves only the delivered pair with source_digest/locator/extractor_version in the artifact's evidence_refs, and a refused read leaves a typed run error and a refusal log line (code, module_id). Missing fields: relevance disposition, downstream consumer, attempt, time, result code per read, and a returned-byte digest; no retained test asserts such a record."
RUN-001,PASS,junit:caos.tests.spec.test_runs_spec::test_node_set_and_edges_are_a_pure_function_of_pathway_and_depth; junit:caos.tests.test_bundle::test_compiled_route_matches_its_pinned_golden; junit:caos.tests.test_bundle::test_all_golden_routes_compile_parse_first_and_deterministically; junit:caos.tests.spec.test_modules_spec::test_run_pins_build_id_and_refuses_execution_under_a_different_bundle; junit:caos.tests.test_bundle::test_vendored_bundle_integrity_passes; junit:caos.tests.spec.test_modules_spec::test_verify_at_use_rejects_bytes_that_mismatch_the_pinned_manifest,retained suite - no action,"compiled_route(pathway, depth) is a pure function; all 12 (pathway, depth) cells match their pinned node/edge digest; the plan carries the verified build id and a run pinned to one build refuses execution under another."
RUN-002,PASS,junit:caos.tests.test_bundle::test_all_golden_routes_compile_parse_first_and_deterministically; junit:caos.tests.test_bundle::test_plan_digest_pins_source_set_identity; junit:caos.tests.spec.test_runs_spec::test_replay_from_same_pinned_sources_and_build_is_equivalent_by_the_same_path; junit:caos.tests.spec.test_research_spec::test_replay_from_the_same_pins_and_brief_proposes_the_same_plan_by_the_same_path; junit:caos.tests.spec.test_runs_spec::test_plan_digest_is_carried_outside_the_blob_and_reasserted,retained suite - no action,Two compilations of every route are equal; the plan digest moves with set id/version and with the brief; two runs from the same pins share plan_digest; the digest is recomputed from the plan preimage and reasserted.
RUN-003,PASS,junit:caos.tests.spec.test_runs_spec::test_started_pathways_are_restricted_to_the_mvp_set; junit:caos.tests.test_bundle::test_unknown_pathway_and_route_fail_closed; junit:caos.tests.test_corpus_pathways::test_unavailable_routes_refuse_without_pinning_30_document_case; junit:caos.tests.spec.test_research_spec::test_start_refuses_missing_incompatible_and_boundary_violating_briefs_before_any_row,retained suite - no action,"PATHWAY_NOT_AVAILABLE / DEPTH_NOT_SUPPORTED are raised with no non-terminal run row; on the 30-document case the current source set is unchanged, the active job count is 0 and the HTTP route answers 422 with the typed code."
RUN-004,PASS,junit:caos.tests.test_bundle::test_all_golden_routes_compile_parse_first_and_deterministically; junit:caos.tests.spec.test_runs_spec::test_empty_source_set_pauses_at_entry_gate_without_pinning; junit:caos.tests.spec.test_research_spec::test_brief_is_persisted_with_its_digest_and_bound_into_the_pinned_plan; junit:caos.tests.test_bundle::test_source_preparation_and_readiness_are_separate_runnable_profiles; junit:caos.tests.spec.test_simulations_spec::test_sim_001_kill_before_any_provider_call_leaves_no_reservation_and_recovers_once,retained suite - no action,Every route starts CP-PARSE then CP-0 (source readiness) behind the plan gate; an evidence-free run pauses at the gate; Deep Research proposes its plan only after CP-PARSE and CP-0 succeed.
RUN-005,PASS,junit:caos.tests.spec.test_runs_spec::test_node_set_and_edges_are_a_pure_function_of_pathway_and_depth; junit:caos.tests.spec.test_runs_spec::test_replay_from_same_pinned_sources_and_build_is_equivalent_by_the_same_path; junit:caos.tests.test_corpus_pathways::test_supported_routes_complete_host_path_on_30_document_upload; junit:caos.tests.spec.test_research_spec::test_replay_from_the_same_pins_and_brief_proposes_the_same_plan_by_the_same_path; junit:caos.tests.spec.test_intake_spec::test_document_instructions_are_inert_evidence_and_cannot_select_the_route; junit:caos.tests.spec.test_injection_spec::test_a_forged_host_contract_inside_a_document_never_becomes_system_authority; junit:caos.tests.test_bundle::test_compiled_route_matches_its_pinned_golden,retained suite - no action,"The node set is a function of (pathway, depth) only; on every route of the real corpus the executed node tuple equals compiled_route(...).nodes; a research brief selects nothing about the route; document instructions cannot select the route at intake. Structural proof - no test attempts a runtime graph mutation because no seam exists for one."
RUN-006,OPEN,junit:caos.tests.spec.test_runs_spec::test_started_pathways_are_restricted_to_the_mvp_set; junit:caos.tests.spec.test_runs_spec::test_full_run_preflight_refuses_disabled_or_absent_provider_without_a_run_row; junit:caos.tests.spec.test_limits_spec::test_active_job_ceiling_refuses_the_twenty_first_before_any_reservation; junit:caos.tests.spec.test_research_spec::test_brief_is_persisted_with_its_digest_and_bound_into_the_pinned_plan,engine/storage owner with the decision owner,"Creation is three transactions by design: RunStore.create_run (run row + brief + run.created), pin_plan at gate exit (plan + node rows + run.running, CAS on unpinned) and init_budget at the first module. Retained tests prove refusals leave no run row or budget row and that the pin is written once. Missing: a test that injects a failure inside create_run/pin_plan and asserts no partial run, node, event, budget or pointer survives - or a DECISIONS entry recording the staged creation as the contract."
RUN-007,PASS,junit:caos.tests.spec.test_runs_spec::test_empty_source_set_pauses_at_entry_gate_without_pinning; junit:caos.tests.spec.test_runs_spec::test_resume_with_still_empty_set_re_pauses_without_pinning; junit:caos.tests.spec.test_simulations_spec::test_sim_001_kill_before_any_provider_call_leaves_no_reservation_and_recovers_once; junit:caos.tests.spec.test_runs_spec::test_interrupt_paused_threads_are_skipped_by_recovery_and_hold_no_admission_slot,retained suite - no action,SOURCE_SET_EMPTY pauses the run at the entry gate with nothing pinned; resume over a still-empty set re-pauses; a parked run has zero provider contact and holds no admission slot.
RUN-008,PASS,junit:caos.tests.spec.test_runs_spec::test_run_store_copies_one_provider_identity_through_run_artifact_snapshot_and_events; junit:caos.tests.spec.test_runs_spec::test_artifact_verifier_rejects_row_relocation_and_index_drift; junit:caos.tests.spec.test_modules_spec::test_run_pins_build_id_and_refuses_execution_under_a_different_bundle; junit:caos.tests.spec.test_runs_spec::test_provider_identity_is_read_once_and_bound_through_runtime_authority; junit:caos.tests.test_bundle::test_distressed_routes_match_the_required_causal_graph; junit:caos.tests.spec.test_state_spec::test_plan_blob_is_frozen_and_digest_reassertion_catches_mutation,retained suite - no action,"A node's artifact is bound to run_id, case_id, module_id, input_fingerprint (plan_digest + route occurrence + upstream digests + source_set_digest), methodology build id, qa_status and provider identity (model/version), each rejected on relocation; the plan carries profile_id, build_id and the source set, and route occurrence ids are pinned per stage (RN-<profile>-<pathway>-<stage>-<module>). Weak point: run_nodes rows themselves carry run/case/module/stage only; the full binding lives on the artifact and the pinned plan."
RUN-009,PASS,junit:caos.tests.spec.test_runs_spec::test_artifact_verifier_rejects_row_relocation_and_index_drift; junit:caos.tests.spec.test_state_spec::test_plan_blob_is_frozen_and_digest_reassertion_catches_mutation; junit:caos.tests.spec.test_state_spec::test_checkpointed_digests_are_expectations_not_authority; junit:caos.tests.spec.test_runs_spec::test_snapshot_rejects_forged_succeeded_run; junit:caos.tests.spec.test_runs_spec::test_replacing_an_invalid_artifact_relinks_the_succeeded_node; junit:caos.tests.spec.test_modules_spec::test_run_pins_build_id_and_refuses_execution_under_a_different_bundle; junit:caos.tests.spec.test_distressed_model_overlay::test_distressed_rejects_a_forged_cp4c_calculator_binding,retained suite - no action,"verify_artifact_content (the function Engine._upstream_digests calls before every module) rejects a forged input_fingerprint, run/case/module relocation and qa drift; a tampered plan fails digest reassertion; a forged upstream digest fails the run gate RUN_NOT_READY; a non-verifying artifact is never reused. Weak point: the mid-run invocation seam (AGENT_AUTHORITY_MISMATCH 'validated upstream artifact is unavailable') is proven through the shared verifier and the finalization gate, not by a test that forges an upstream digest between two modules."
RUN-010,PASS,junit:caos.tests.test_bundle::test_all_golden_routes_compile_parse_first_and_deterministically; junit:caos.tests.test_bundle::test_distressed_routes_match_the_required_causal_graph; junit:caos.tests.test_corpus_pathways::test_supported_routes_complete_host_path_on_30_document_upload; junit:caos.tests.spec.test_distressed_model_overlay::test_distressed_requires_both_cp4c_calculator_records; junit:caos.tests.test_methodology_execution::test_distressed_completion_requires_numeric_funding_gap_and_recovery; junit:caos.tests.test_runtime_calculations::test_incomplete_core_calculation_ends_the_run_as_a_model_failure_not_evidence_insufficiency; junit:caos.tests.spec.test_source_complete_modelling_spec::test_removing_the_annual_report_refuses_at_the_source_gate; junit:caos.tests.spec.test_simulations_spec::test_sim_003_kill_during_the_provider_call_never_spends_again_on_resume,retained suite - no action,"No route carries a forward dependency and the executed node order equals the compiled route on every corpus route; missing blocking inputs are typed refusals: an absent CP-4C calculator record refuses the Distressed effect, an incomplete core calculation fails the run, an absent annual report refuses at the source gate, and a failed sibling leaves dependants pending/cancelled, never running."
RUN-011,PASS,junit:caos.tests.test_runtime_calculations::test_incomplete_non_core_calculation_completes_the_module_as_a_declared_limitation; junit:caos.tests.test_runtime_calculations::test_provider_cannot_forge_a_host_limitation_flag; junit:caos.tests.spec.test_source_complete_modelling_spec::test_removing_the_forecast_source_is_a_typed_model_refusal_never_a_default; junit:caos.tests.spec.test_source_complete_modelling_spec::test_market_marks_dated_before_the_latest_reported_period_are_a_named_limitation; junit:caos.tests.spec.test_source_complete_modelling_spec::test_relative_value_without_a_pinned_workbook_names_the_missing_marks; junit:caos.tests.spec.test_source_complete_modelling_spec::test_deep_research_without_a_full_credit_model_declares_no_numeric_effect; junit:caos.tests.spec.test_source_complete_modelling_spec::test_screen_depth_reads_as_a_depth_precondition_not_as_corruption,retained suite - no action,"An incomplete non-core calculator is absent from the pinned records and present in host-derived calculation_limitations / limitation_flags; a missing forecast driver is UNAVAILABLE with a gap code; stale marks, a missing workbook, a missing base model and screen depth are named limitations or typed preconditions, never silent defaults."
RUN-012,PASS,junit:caos.tests.spec.test_runs_spec::test_crash_between_store_commit_and_checkpoint_write_yields_one_artifact_one_charge; junit:caos.tests.spec.test_simulations_spec::test_sim_022_absent_checkpoint_recovers_from_domain_truth_without_re_executing_finished_modules; junit:caos.tests.spec.test_simulations_spec::test_sim_001_kill_before_any_provider_call_leaves_no_reservation_and_recovers_once; junit:caos.tests.spec.test_simulations_spec::test_sim_030_a_restart_loop_during_active_work_recovers_idempotently_and_bounded; junit:caos.tests.spec.test_runs_spec::test_worker_killed_mid_run_resumes_from_last_checkpoint_not_restart; junit:caos.tests.spec.test_runs_spec::test_replacing_an_invalid_artifact_relinks_the_succeeded_node,retained suite - no action,"Reuse-first recovery relinks the committed artifact: one artifact and one charge after a commit-gap crash; finished modules keep their (module, digest) pairs with execution count 1 and budget turns == provider calls (zero calls for the reused modules); the succeeded node follows the artifact id it is linked to."
