check_id,result,evidence,owner,notes
UX-014,PASS,artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json; artifact:gates/frontend-unit.txt,,"Smoke L1300-1400: dirty Model Builder draft blocks case switch, internal link, command-palette navigation and window.history.back() with the 'Discard draft changes?' dialog; cancel restores URL, value (0.06) and focus; confirm traverses exactly one history boundary. Smoke L1799-1826: Report Studio recovery copy in localStorage survives a stale server (reconnect) and 'Retry save now' saves it with the original CAS base. Unit tests: 'draft navigation uses one focus-returning native dialog and preserves beforeunload' (refresh/close), 'draft link interception accepts only an unmodified primary same-tab gesture', 'external history writes preserve application state without bypassing Next URL restore', 'unsaved report work has a scoped non-authoritative recovery copy and automatic retry'. Refresh is covered by the beforeunload unit test, not by a browser reload with a dirty draft."
UX-015,PASS,artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json; junit:caos.tests.spec.test_runs_spec::test_case_reader_cannot_start_or_upgrade_and_outsiders_see_nothing; junit:caos.tests.spec.test_deliverables_spec::test_case_reader_reads_workspace_but_cannot_write_draft; junit:caos.tests.spec.test_loan_universe_spec::test_loan_universe_api_is_case_scoped_and_reader_safe; junit:caos.tests.spec.test_intake_spec::test_the_intake_route_is_a_writer_action_and_a_case_member_boundary,,"Smoke L2256-2295 opens a READER context: case register rows readable, 'Create case'/'Analyze documents'/'Upload and version'/file inputs/'Compile and run'/'Accept analytical snapshot'/'Upload CP-3 workbook'/'File exact Frozen version' all absent, run console shows 'Acceptance is an analyst action.', and the same holds when /api/me fails. Server side: reader reads the workspace and universe but every write is 403; intake is 403 for readers."
UX-016,PASS,junit:caos.tests.spec.test_publication_spec::test_the_opinion_signer_and_the_freeze_actor_cannot_file_their_own_output; junit:caos.tests.spec.test_deliverables_spec::test_http_filing_gate_denies_outsiders_404_readers_403_analysts_403_for_every_global_role; junit:caos.tests.spec.test_publication_spec::test_opinion_signoff_is_an_append_only_expected_head_cas_bound_to_the_exact_revision; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json; artifact:gates/frontend-unit.txt,,Analyst signs the opinion on the exact saved revision (smoke L1967-2010 fills Rationale etc. and asserts the frozen record binds the signer); filing is refused for analysts (403) and for the signer/freeze actor (APPROVER_NOT_INDEPENDENT); smoke L2034-2042 and unit 'the opinion signer and the freeze actor never see a File control for their own output' prove the File control is absent for them.
UX-017,PASS,artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json; artifact:gates/frontend-unit.txt; junit:caos.tests.spec.test_deliverables_spec::test_approval_binds_exact_preview_digest_and_fingerprint_mismatch_leaves_frozen_retryable; junit:caos.tests.spec.test_deliverables_spec::test_filed_exports_are_byte_exact_sha_verified_and_never_rerendered; junit:caos.tests.spec.test_deliverables_spec::test_approval_leaves_frozen_content_bit_identical_and_appends_one_audit_event,,"Smoke L2015-2032 renders the 'Frozen Deliverable preview' from the frozen payload (canonical sections, watermark on every page, no bypass of canonical sections) before the approver files (L2066-2084, receipt shown); unit 'Draft and Frozen review render the same canonical governed document'. Backend: approval binds the exact preview digest + input fingerprint and the filed bytes are the frozen bytes."
UX-018,OPEN,artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json; artifact:gates/browser/a11y-rerun.txt,REV-010 accessibility reviewer,"Partial: the smoke submits the intake with Enter (L609-611), reaches the skip link as first Tab stop and moves focus into main (L1017-1022), drives Model Builder tabs with Arrow/Home/End (L1243-1259) and dialogs with Escape with focus-return checks; the a11y sweep runs 3 tab-navigation checks each on Model Builder and Report Studio. Missing: no retained run completes the golden journey (drop, open review, accept, sign, freeze, file) with the keyboard alone; most journey actions use .click(). REV-010 (manual keyboard-only over every destination and state) is OUTSTANDING."
UX-019,OPEN,artifact:gates/browser/a11y-rerun.txt; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json,REV-010 accessibility reviewer,"Partial: the journey completes at 1440x1000 (smoke) and the a11y sweep scans 9 routes at 1280/1366/1440/1600/1920 and 720 (1440 at 200% zoom) with 0 violations including page-horizontal-scroll; after each smoke stage the page is re-checked at 720 for overflow (intake manifest L636-639, Model Builder, Report Studio, Sources, Deep-Dive). Missing: no journey action (drop, approve, sign, file) is performed at a narrow width, DESIGN.md declares no supported narrow-screen width, and REV-010's 400% reflow check is OUTSTANDING."
UX-020,PASS,junit:caos.tests.spec.test_simulations_spec::test_sim_024_provider_failures_end_typed_sanitized_and_bounded[429]; junit:caos.tests.spec.test_simulations_spec::test_sim_024_provider_failures_end_typed_sanitized_and_bounded[redirect]; junit:caos.tests.spec.test_simulations_spec::test_sim_010_database_unavailable_before_a_write_is_typed_and_leaves_no_partial_file; junit:caos.tests.spec.test_evidence_spec::test_the_run_error_surface_carries_a_code_and_never_a_message; junit:caos.tests.spec.test_state_spec::test_focus_questions_reject_surrogates_at_the_api_contract; junit:caos.tests.spec.test_observability_spec::test_registered_secrets_are_redacted_from_every_string_that_reaches_a_log_line; junit:caos.tests.spec.test_observability_spec::test_worker_failure_logs_the_exception_type_but_never_its_message; junit:caos.tests.spec.test_intake_spec::test_an_execution_refusal_keeps_the_pack_admitted_with_a_typed_code; artifact:gates/frontend-unit.txt,,"Provider error bodies (secret token, redirect host) never persisted; DB outage is {code: STORE_UNAVAILABLE} with no driver text; run error is {code, module_id} only; rejected surrogate input is not echoed by the validation handler; secrets redacted and worker exceptions logged by class only; provider absence is the typed AGENT_PROVIDER_UNAVAILABLE on the intake wire. Frontend unit tests 'api never serves a raw object or validation detail as its message' and 'a server code is never presented as a raw identifier'."
SRC-001,OPEN,junit:caos.tests.test_source_ingestion::test_valid_no_text_pdf_is_accepted; junit:caos.tests.test_source_ingestion::test_non_empty_xlsx_is_accepted; junit:caos.tests.test_source_ingestion::test_json_scalar_values_are_accepted; junit:caos.tests.spec.test_intake_spec::test_golden_pack_creates_the_case_admits_every_file_and_starts_full_credit; junit:caos.tests.test_corpus_pathways::test_user_uploaded_document_is_admitted_with_blocks[CCL_2024_form_10K.pdf],decision owner (new candidate),"Declared types are pdf, xlsx, json, txt, md, csv (ALLOWED_SUFFIXES). Acceptance is proven for pdf, xlsx, json and txt; no retained passed test admits a valid .md or .csv source (both appear only in rejection tests: evidence-free and non-UTF-8). Add one acceptance case each for .md and .csv."
SRC-002,OPEN,junit:caos.tests.test_source_ingestion::test_unsupported_type_is_rejected_415; junit:caos.tests.spec.test_misc_spec::test_source_route_admission_refusals_reach_the_wire; junit:caos.tests.spec.test_http_contracts_spec::test_upload_route_enforces_the_same_admission_as_the_ingestion_helper; junit:caos.tests.test_source_ingestion::test_invalid_pdf_is_rejected; junit:caos.tests.spec.test_intake_spec::test_one_refused_file_refuses_the_whole_pack_and_admits_nothing[bad_file1-415],decision owner (new candidate),"Proven: unsupported extension is 415 at the helper, the source route and the intake; .pdf/.xlsx suffixes with non-PDF/non-workbook bytes are refused by the parser (422). Not proven and not implemented: admission keys on the filename suffix only, the client media type is stored unverified (SPEC_RECONCILIATION 'Filename and media type are not BoundaryText') and no byte-signature sniff exists, so a media-type mismatch or a text file carrying another format's signature is not refused."
SRC-003,PASS,junit:caos.tests.test_source_ingestion::test_zero_byte_source_is_rejected_before_source_set_creation; junit:caos.tests.test_source_ingestion::test_evidence_free_text_csv_and_xlsx_are_rejected; junit:caos.tests.test_source_ingestion::test_evidence_free_json_values_are_rejected[{}]; junit:caos.tests.test_source_ingestion::test_evidence_free_json_values_are_rejected[null]; junit:caos.tests.spec.test_intake_spec::test_one_refused_file_refuses_the_whole_pack_and_admits_nothing[bad_file2-422]; junit:caos.tests.spec.test_intake_spec::test_a_refused_pack_into_an_existing_case_leaves_its_source_set_untouched,,"assert_rejected asserts 422 and that the current source set is unchanged after the refusal (no source, no set delta); the intake refuses the whole pack with no case and only an intake.refused audit row, and an existing case's set stays byte-identical."
SRC-004,PASS,"junit:caos.tests.test_source_ingestion::test_non_utf8_text_sources_are_rejected[bad.txt]; junit:caos.tests.test_source_ingestion::test_non_utf8_text_sources_are_rejected[bad.csv]; junit:caos.tests.test_source_ingestion::test_duplicate_json_keys_are_rejected[{""a"":1,""a"":2}]; junit:caos.tests.test_source_ingestion::test_duplicate_json_keys_are_rejected[{""outer"":{""a"":1,""a"":2}}]; junit:caos.tests.test_source_ingestion::test_non_finite_json_values_are_rejected[{""amount"":NaN}]; junit:caos.tests.test_source_ingestion::test_non_finite_json_values_are_rejected[{""amount"":1e999}]",,"Invalid UTF-8 in txt/md/csv, duplicate keys at top level and nested, NaN/Infinity/-Infinity and over-range 1e999/-1e999 are all 422 with no source-set delta."
SRC-005,OPEN,junit:caos.tests.test_source_ingestion::test_json_scalar_values_are_accepted; junit:caos.tests.spec.test_loan_universe_spec::test_blank_optional_cells_remain_null; junit:caos.tests.spec.test_loan_universe_spec::test_visible_rows_map_with_source_units_and_locators_while_hidden_sheets_never_appear; junit:caos.tests.spec.test_intake_spec::test_golden_pack_creates_the_case_admits_every_file_and_starts_full_credit; junit:caos.tests.spec.test_misc_spec::test_rv_currency_normalized_before_comparability_and_invalid_codes_rejected,decision owner (new candidate),"Proven: finite zero and false are admitted as JSON sources; blank optional workbook cells stay null (never zero); source units (size_mn, margin_bps) preserved; reporting periods and issuer entity derived on the intake wire; RV currency codes validated. Not directly asserted: preservation of signs (negative values), currencies on ingested evidence, and definitions through extraction. Needs a fixture asserting sign/currency/definition text survives block extraction byte-for-byte (the over-wide-line test proves no character is dropped, but not these classes specifically)."
SRC-006,PASS,junit:caos.tests.test_source_ingestion::test_valid_no_text_pdf_is_accepted; junit:caos.tests.spec.test_intake_spec::test_a_textless_pdf_alone_is_admitted_and_returns_one_typed_clarification,,"A structurally valid PDF with no text layer is admitted (source-set v1) and the intake records it as disposition 'insufficient' with the typed INTAKE_EVIDENCE_INSUFFICIENT clarification while keeping the scan in the set (classify.py sets text_layer False / signal no_text_layer, which drives that disposition)."
SRC-007,PASS,junit:caos.tests.test_source_ingestion::test_invalid_pdf_is_rejected; junit:caos.tests.spec.test_intake_spec::test_one_refused_file_refuses_the_whole_pack_and_admits_nothing[bad_file0-422]; junit:caos.tests.spec.test_intake_spec::test_a_refused_pack_into_an_existing_case_leaves_its_source_set_untouched; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json,,Malformed PDF bytes are 422 with no source-set delta; in a pack the malformed member refuses everything and leaves an existing case's set and current run unchanged; the smoke's refused pack creates no case. extract_blocks turns every parser exception into the typed 422 before any store write.
SRC-008,OPEN,junit:caos.tests.spec.test_loan_universe_spec::test_unsafe_package_parts_reject_before_workbook_parsing; junit:caos.tests.spec.test_loan_universe_spec::test_external_relationship_with_xml_whitespace_is_rejected; junit:caos.tests.spec.test_loan_universe_spec::test_relationships_part_declaring_a_dtd_is_refused_without_expanding_it; junit:caos.tests.spec.test_loan_universe_spec::test_formula_without_cached_value_becomes_null_without_execution,decision owner (new candidate),"Proven for the loan-universe (CP-3) importer only: externalLinks parts, external relationships, DTD-bearing parts and macro/vba content types are refused before parsing and formulas are never evaluated. The general XLSX source path (sources/domain.py extract_blocks) has no package screening beyond the zip traversal/bomb guards: an .xlsx carrying external relationships or unsafe parts is admitted as evidence. No retained test covers that path."
SRC-009,OPEN,junit:caos.tests.spec.test_loan_universe_spec::test_formula_without_cached_value_becomes_null_without_execution,decision owner (new candidate),"Proven for the loan-universe importer (data_only load, formula cell -> null, never evaluated). The general XLSX source extractor loads data_only=False and emits the formula string as cell text; that is not a calculated value but it is not null either, and no retained test asserts either behaviour on that path. CLAUDE.md records the silent null import as an open product decision."
SRC-010,OPEN,junit:caos.tests.spec.test_loan_universe_spec::test_visible_rows_map_with_source_units_and_locators_while_hidden_sheets_never_appear,decision owner (new candidate),Hidden sheets are excluded by the loan-universe importer (sheet_state != visible skipped; 'Hidden' rows never appear). Hidden columns are not handled anywhere (loan_universe.py checks sheet_state only) and no test asserts their exclusion; the general XLSX extractor iterates every worksheet regardless of visibility (no contract requires visible-only there).
SRC-011,OPEN,junit:caos.tests.spec.test_limits_spec::test_source_size_ceiling_below_at_and_above_refuses_before_scan_or_vault; junit:caos.tests.spec.test_limits_spec::test_manifest_block_ceiling_at_and_above_is_refused_before_provider_contact; junit:caos.tests.spec.test_limits_spec::test_intake_file_ceiling_at_and_above_refuses_before_any_admission; junit:caos.tests.test_source_ingestion::test_xlsx_extraction_caps_fail_closed; junit:caos.tests.test_source_ingestion::test_text_beyond_the_extraction_ceiling_is_still_refused; junit:caos.tests.test_source_ingestion::test_over_wide_line_is_split_into_bounded_blocks_rather_than_refused; artifact:gates/stack/capacity-limits.json,decision owner (new candidate),"Exact below/at/above proven for source bytes (in-process and over HTTP), manifest block rows and intake file count. Row and sheet caps are proven only above the (monkeypatched) ceiling; the column cap (MAX_XLSX_EXTRACT_COLUMNS) and the total-text ceiling are proven above only; the line ceiling is a split, not a refusal, proven for > MAX_BLOCK_CHARS but not at exactly MAX_BLOCK_CHARS. Add at-boundary admission cases for rows, columns, sheets, line width and total text."
SRC-012,PASS,junit:caos.tests.test_source_ingestion::test_text_beyond_the_extraction_ceiling_is_still_refused; junit:caos.tests.test_source_ingestion::test_oversize_upload_is_rejected_413; junit:caos.tests.test_source_ingestion::test_xlsx_extraction_caps_fail_closed; junit:caos.tests.test_source_ingestion::test_over_wide_line_is_split_into_bounded_blocks_rather_than_refused; junit:caos.tests.test_source_ingestion::test_large_document_keeps_block_count_inside_the_run_manifest_ceiling,,Text over MAX_SOURCE_TEXT is 422 (never a prefix); an upload over max_bytes is 413 (the reader takes max+1 and refuses); XLSX over its row/sheet caps is 422; where a document is kept it is kept whole (split and grouped blocks re-join to the exact original text).
SRC-013,OPEN,junit:caos.tests.spec.test_misc_spec::test_source_route_admission_refusals_reach_the_wire,decision owner (new candidate),"Proven over the wire: a PK-prefixed upload with a '../' member and a 20 MB/ratio decompression bomb are 422 (validate_archive: traversal, expanded size, ratio). Guards for absolute paths and member count exist in code but no test drives them; symlink members, duplicate members and nested archive bombs are not checked at all (the archive guard inspects one level of the zip directory). The test also asserts only the status, not the typed detail."
SRC-014,PASS,junit:caos.tests.spec.test_simulations_spec::test_sim_028_an_unreachable_malware_scanner_refuses_the_upload_with_an_actionable_status; junit:caos.tests.test_source_ingestion::test_eicar_content_is_rejected; junit:caos.tests.spec.test_intake_spec::test_one_refused_file_refuses_the_whole_pack_and_admits_nothing[bad_file3-422]; junit:caos.tests.spec.test_misc_spec::test_source_route_admission_refusals_reach_the_wire; junit:caos.tests.spec.test_limits_spec::test_source_size_ceiling_below_at_and_above_refuses_before_scan_or_vault,,"In the production profile the configured clamd is contacted before any vault write and an unreachable scanner is a 503 naming the scanner with no source row and no vault byte (fail closed); the EICAR marker is refused at the helper, the source route and the intake; the scan runs after the size ceiling and before the vault. Weak point: the clamd 'FOUND' response path is exercised by no retained test (only the in-process EICAR marker and the unreachable path); the 'not configured' 503 branch is also untested."
SRC-015,PASS,junit:caos.tests.test_source_ingestion::test_existing_source_vault_corruption_is_never_reused_or_read; junit:caos.tests.test_store::test_source_set_id_pins_immutable_membership; junit:caos.tests.spec.test_http_contracts_spec::test_withdrawn_source_detail_remains_retrievable_with_strict_public_shape; junit:caos.tests.spec.test_runs_spec::test_gate_exit_pins_exact_current_source_set_and_later_uploads_do_not_move_it; artifact:gates/scans/images.txt,,"Source bytes are content-addressed under the vault: put() refuses to overwrite an existing digest with different bytes ('existing source identity mismatch'), verify()/read_source_bytes fail closed on tamper; withdrawal is a flag and the row stays retrievable; source-set membership is immutable and the pin never moves. Derivatives (blocks) live on the source row in the store, and the image carries only the tracked tree. Weak point: no test asserts a write-protection mechanism on the vault file itself, only that any change is detected and refused."
SRC-016,PASS,junit:caos.tests.test_source_ingestion::test_existing_source_vault_corruption_is_never_reused_or_read; junit:caos.tests.spec.test_runs_spec::test_acceptance_rejects_corrupted_uploaded_source_bytes; junit:caos.tests.spec.test_loan_universe_spec::test_import_rejects_vault_bytes_that_do_not_match_the_source_digest; junit:caos.tests.spec.test_runs_spec::test_acceptance_rejects_source_content_changed_without_a_new_source_set,,"Before: prepare_upload hashes the received bytes and Vault.put verifies the digest of what it writes. After: the gate node and acceptance re-verify vault bytes (AGENT_AUTHORITY_MISMATCH on tamper), the loan import re-hashes vault bytes against the source digest (RV_SOURCE_INTEGRITY_MISMATCH) and changed stored blocks without a new set are refused."
