check_id,family,condition,mechanism,evidence,atlas_owasp,notes,recorded
IAM-012,IAM,Recheck standing at commit time after a role or membership changes mid-request,retained-test,run_sec_audit.py::main (freeze with a revocation hooked between the route check and the commit → 403 CASE_STANDING_REVOKED); caos/tests/spec/test_simulations_spec.py::test_sim_020_membership_revoked_between_authorization_and_commit_is_rejected_at_commit_time; caos/tests/spec/test_simulations_spec.py::test_sim_020_membership_revoked_between_authorization_and_freeze_commit_is_rejected,API5:2023,DomainStore.require_standing inside the freeze-request and filing transactions (Task 12a).,2026-09-03
IAM-013,IAM,Prevent cross-case IDs in request bodies from changing the path-scoped case,release-gate,"run_sec_audit.py::main (20 cross-case substitutions: source_id, build_id, run_id, draft_id, revision_id in bodies and sub-paths)",API1:2023,"Foreign and unknown ids are byte-identical, never 2xx, never leak the other case, and the other case's audit chain does not move.",2026-09-03
IAM-014,IAM,"Reject mass assignment of identity, status, digest, authority, actor, version, and approval fields",release-gate,run_sec_audit.py::main (MASS_ASSIGNMENT on every JSON body → 422 extra_forbidden); caos/tests/spec/test_http_contracts_spec.py::test_family_models_reject_an_injected_unknown_top_level_key,API3:2023 Broken Object Property Level Authorization,Every request model is extra=forbid (StrictModel).,2026-09-03
IAM-015,IAM,Test concurrent authorization change against freeze and filing,retained-test,caos/tests/spec/test_simulations_spec.py::test_sim_020_membership_revoked_between_authorization_and_commit_is_rejected_at_commit_time; caos/tests/test_postgres_races.py::test_filing_race_files_once_with_one_receipt; caos/tests/test_postgres_races.py::test_freeze_request_race_converges_on_one_job,API5:2023,Two-connection PostgreSQL proof in CI job postgres; membership row read FOR SHARE.,2026-09-03
IAM-016,IAM,Expire sessions and revoke access according to the enterprise edge configuration,structural,"run_sec_audit.py::edge_configuration_checks (cookie_secure, cookie_httponly, cookie_expire, skip_auth_routes); caos/tests/spec/test_misc_spec.py::test_edge_scrubs_every_identity_header_the_app_trusts",API2:2023,"BLOCKED EXTERNAL for the live half: session expiry, logout and IdP revocation need the enterprise identity provider and test accounts; the configuration is pinned here.",2026-09-03
IAM-017,IAM,Reject replayed write requests where the operation is not idempotent,retained-test,caos/tests/spec/test_runs_spec.py::test_acceptance_is_idempotent_and_updates_case_and_run_together; caos/tests/spec/test_deliverables_spec.py::test_stale_expected_version_is_atomic_cas_conflict_carrying_current_head; caos/tests/spec/test_deliverables_spec.py::test_http_stale_draft_put_returns_409_with_current_revision_and_by_id_read_round_trips; caos/tests/spec/test_model_builder_spec.py::test_http_preview_signoff_history_and_stale_head_conflict; caos/tests/spec/test_state_spec.py::test_stale_or_late_resume_returns_typed_not_applied; caos/tests/spec/test_intake_spec.py::test_a_double_submit_converges_on_one_intake_and_one_run,API6:2023 Unrestricted Access to Sensitive Business Flows,Every non-idempotent write is an expected-head CAS; replays are typed 409 or converge on one effect.,2026-09-03
IAM-018,IAM,Record successful and refused privileged actions without leaking invisible resource identity,retained-test,caos/tests/spec/test_audit_chain_spec.py::test_governed_writes_extend_a_contiguous_per_case_hash_chain; caos/tests/spec/test_observability_spec.py::test_a_refused_read_logs_its_typed_code_and_none_of_the_document; caos/tests/spec/test_evidence_spec.py::test_the_run_error_surface_carries_a_code_and_never_a_message; run_sec_audit.py::main (no hidden id in any refusal),API9:2023 Improper Inventory Management,Governed writes ride the hash chain; refusals log typed codes only.,2026-09-03
IAM-019,IAM,Run an automated route audit that discovers routes from OpenAPI and tests authentication and response precedence,release-gate,run_sec_audit.py::_discover; run_sec_audit.py::unauthenticated_checks,API9:2023,CI server job (both interpreters) and nightly; OpenAPI ≠ registered routes is a refusal to run.,2026-09-03
IAM-020,IAM,"Review every new route for membership, role, strict request, strict response, audit, and rate-limit coverage",release-gate,docs/quality_ledger_coverage.py; run_sec_audit.py::main (a new route enters the matrix automatically); caos/tests/spec/test_http_contracts_spec.py::test_openapi_refs_a_named_component_schema_for_every_2xx_json_response; caos/scripts/recorded_review.py (rule new-route),API9:2023,"A route without a ledger row, a named response model or a passing matrix cell fails the build; the recorded review flags every new @app route for review.",2026-09-03
SEC-001,SEC,"Run dependency, container, secret, static-analysis, and software-bill-of-materials scans on the candidate commit",release-gate,".github/workflows/ci.yml (jobs security and image: pip-audit, bandit, npm audit, gitleaks, Trivy vulnerability inventory, CycloneDX SBOM per image); caos/scripts/scan_floors.py::manifest",A05:2021 Security Misconfiguration; A06:2021 Vulnerable Components,Results retained as artifacts security-scans-<sha> and image-scans-<sha> with scan-manifest.json binding report digests to the commit and image ids.,2026-09-03
SEC-002,SEC,Fail a security scan that parsed no files or covered less than the declared source floor,retained-test,caos/scripts/scan_floors.py; caos/tests/test_scan_floors.py::test_bandit_refuses_parse_errors_and_a_thin_scan; caos/tests/test_scan_floors.py::test_gitleaks_refuses_a_scan_that_never_saw_a_history; caos/tests/test_scan_floors.py::test_trivy_and_sbom_are_bound_to_the_built_image,A05:2021,Observed on this worktree: gitleaks exited 0 with 'no leaks found' while git failed underneath it; the floor reads the commits-scanned line.,2026-09-03
SEC-003,SEC,Pin third-party workflow actions and downloaded installers by immutable digest,retained-test,caos/tests/test_workflow_security.py::test_every_action_is_pinned_to_a_commit; caos/tests/test_workflow_security.py::test_every_pulled_image_and_installer_is_pinned_by_digest; caos/tests/test_workflow_security.py::test_the_security_job_installs_its_scanners_from_the_hashed_lock,A08:2021 Software and Data Integrity Failures,"Recorded exceptions: apt packages (archive-signed, CLAUDE.md) and Playwright browser builds (pinned by package-lock build number, not digest-verified).",2026-09-03
SEC-004,SEC,"Review GitHub workflows for untrusted event data entering an AI prompt through direct expressions, environment variables, command output, logs, or fetched pull-request content",retained-test,"caos/tests/test_workflow_security.py::test_no_untrusted_event_text_reaches_a_shell_or_an_agent; caos/scripts/recorded_review.py (rules workflow-event-in-run, workflow-ai-agent); caos/tests/test_recorded_review.py::test_planted_block_findings_are_reported_and_fail_the_review",LLM01:2025 Prompt Injection; A03:2021 Injection,"No AI prompt exists in any workflow; only commit SHAs may be bound from the event, through env.",2026-09-03
SEC-005,SEC,"Prevent AI workflow agents from receiving broad write permissions, unsafe sandboxes, wildcard callers, repository secrets, or untrusted diffs",retained-test,caos/tests/test_workflow_security.py::test_workflow_token_is_read_only; caos/tests/test_workflow_security.py::test_secrets_are_reachable_only_from_dispatch_only_protected_jobs; caos/tests/test_recorded_review.py::test_the_workflow_is_read_only_holds_no_secret_and_runs_the_script; caos/tests/test_workflow_security.py::test_the_ai_review_action_is_gone_and_the_recorded_review_is_the_pr_check,LLM06:2025 Excessive Agency,The AI review is replaced by the recorded read-only review (ETR-B06).,2026-09-03
SEC-006,SEC,Test broken object authorization against every case-scoped identifier,release-gate,run_sec_audit.py::main (cross-case substitutions and sub-path ids); caos/tests/spec/test_injection_spec.py::test_cross_case_source_named_by_the_document_is_refused; caos/tests/spec/test_evidence_spec.py::test_read_outside_pinned_source_set_fails_closed,API1:2023,"Path, body and query identifiers.",2026-09-03
SEC-007,SEC,"Test injection in JSON, SQL-like strings, filenames, Markdown, YAML frontmatter, spreadsheet cells, document metadata, and query parameters",retained-test,caos/tests/spec/test_state_spec.py::test_case_and_note_text_is_boundary_validated_at_the_api_contract; caos/tests/spec/test_state_spec.py::test_deliverable_block_text_is_boundary_validated; caos/tests/spec/test_state_spec.py::test_bidi_override_characters_are_refused_but_rtl_text_is_not; caos/tests/spec/test_injection_spec.py::test_forged_frontmatter_from_the_document_never_survives_canonicalization; caos/tests/spec/test_intake_spec.py::test_conflicting_duplicate_filenames_are_refused_with_structured_findings; caos/tests/spec/test_loan_universe_spec.py; run_sec_audit.py::main (assumption-registry build_id query substitution),A03:2021 Injection,BoundaryText on every pinned string; SQLAlchemy Core parameters everywhere; loan-workbook cells are BoundaryText at the importer (Task 9).,2026-09-03
SEC-008,SEC,Test cross-site scripting and content injection in every rendered artifact and browser panel,retained-test,caos/frontend/src/components/report/ReportStudio.test.ts; caos/tests/spec/test_http_contracts_spec.py::test_every_response_carries_the_browser_hardening_headers; caos/scripts/recorded_review.py (rule inner-html); caos/tests/spec/test_publication_goldens_spec.py,A03:2021; A05:2021,"React escapes text; no innerHTML surface; CSP default-src 'self' with object-src 'none'; exports are rendered from the frozen payload, never from HTML.",2026-09-03
SEC-009,SEC,"Test request smuggling, duplicate headers, duplicate JSON keys, unsupported content encodings, and oversized compressed bodies at the enterprise edge",release-gate,"run_sec_audit.py::forged_identity_checks (duplicate trusted headers → 401); run_sec_audit.py::framework_surface_checks (gzip-encoded body → typed 4xx, duplicate JSON keys → recorded last-wins, one case); caos/tests/spec/test_evidence_spec.py::test_duplicate_tool_argument_keys_are_refused_not_collapsed; caos/tests/spec/test_limits_spec.py::test_request_ceiling_bounds_the_source_ceiling_and_is_enforced_at_the_edge",API8:2023 Security Misconfiguration,"Request smuggling against the Caddy/oauth2-proxy pair is part of the authorized penetration test (BLOCKED EXTERNAL, SEC-028).",2026-09-03
SEC-010,SEC,"Verify Content Security Policy, transport, framing, MIME, referrer, cache, and permissions headers on application, API, error, and download responses",release-gate,"caos/tests/spec/test_http_contracts_spec.py::test_every_response_carries_the_browser_hardening_headers; run_sec_audit.py::framework_surface_checks (401, 404, 422, 200 JSON, download, static 404)",A05:2021,HSTS production-only; downloads cache-control no-store.,2026-09-03
SEC-011,SEC,Keep framework documentation and debug surfaces closed in the enterprise profile,release-gate,"run_sec_audit.py::framework_surface_checks (/docs, /redoc, /openapi.json, oauth2-redirect → 404 in production)",A05:2021,,2026-09-03
SEC-012,SEC,"Test per-subject request, stream, preview, upload, and active-job ceilings",retained-test,caos/tests/spec/test_limits_spec.py::test_rate_ceiling_exactly_at_the_limit_is_admitted_and_one_more_is_refused; caos/tests/spec/test_limits_spec.py::test_stream_ceiling_at_and_above_is_per_subject_and_returned; caos/tests/spec/test_limits_spec.py::test_preview_ceiling_at_and_above_is_per_subject_and_returned; caos/tests/spec/test_limits_spec.py::test_active_job_ceiling_refuses_the_twenty_first_before_any_reservation; caos/tests/spec/test_limits_spec.py::test_source_size_ceiling_below_at_and_above_refuses_before_scan_or_vault; qa/capacity.py::limits,API4:2023 Unrestricted Resource Consumption,Below/at/above in-process; the HTTP-scale run is the capacity harness.,2026-09-03
SEC-013,SEC,"Test direct prompt override, role replacement, fake system messages, and instruction hierarchy attacks in documents",retained-test,caos/tests/spec/test_injection_spec.py::test_a_forged_host_contract_inside_a_document_never_becomes_system_authority; caos/tests/spec/test_injection_spec.py::test_document_cannot_buy_an_answer_with_no_supplied_evidence; caos/tests/spec/test_injection_spec.py::test_a_focus_question_copied_out_of_a_document_carries_no_authority; caos/tests/spec/test_intake_spec.py::test_document_instructions_are_inert_evidence_and_cannot_select_the_route; caos/tests/spec/test_research_spec.py::test_an_injection_bearing_brief_is_data_and_the_host_still_refuses_the_obeyed_output,LLM01:2025; ATLAS AML.T0051 LLM Prompt Injection,Fixtures under caos/tests/fixtures/injection/ driven by a provider double that obeys them; only the host's refusal is asserted.,2026-09-03
SEC-014,SEC,"Test indirect prompt injection in tables, footnotes, hidden cells, document properties, OCR text, and source links",retained-test,caos/tests/spec/test_injection_spec.py::test_a_workbook_imported_after_the_pin_cannot_bind_itself_to_the_run; caos/tests/spec/test_injection_spec.py::test_a_superseding_workbook_cannot_swap_what_the_pinned_run_binds; caos/tests/spec/test_injection_spec.py::test_forged_frontmatter_from_the_document_never_survives_canonicalization; caos/tests/spec/test_injection_spec.py::test_web_discovery_instruction_cannot_reach_a_second_tool,LLM01:2025; ATLAS AML.T0051.001 Indirect,"OCR is not performed (a textless PDF stores a placeholder block) and source links are never fetched (invariant 1), so those two channels do not exist.",2026-09-03
SEC-015,SEC,"Test encoded and obfuscated injections using Base64, Unicode confusables, zero-width characters, right-to-left controls, and split tokens",retained-test,caos/tests/spec/test_injection_spec.py::test_homoglyph_and_zero_width_source_ids_do_not_address_the_pinned_source; caos/tests/spec/test_state_spec.py::test_bidi_override_characters_are_refused_but_rtl_text_is_not; caos/tests/spec/test_state_spec.py::test_unicode_boundary_rejects_unencodable_pinned_strings; caos/tests/spec/test_injection_spec.py::test_every_forbidden_authority_key_the_document_names_is_refused,LLM01:2025; ATLAS AML.T0054 LLM Jailbreak,Base64 and split-token payloads are inert by construction: the host never decodes or executes document text; evidence reads are addressed by host-owned ids only.,2026-09-03
SEC-016,SEC,"Test requests to reveal system prompts, methodology text, other cases, secrets, tool schemas, hidden reasoning, or provider metadata",retained-test,caos/tests/spec/test_injection_spec.py::test_out_of_set_source_named_by_the_document_is_refused_and_returns_no_text; caos/tests/spec/test_evidence_spec.py::test_no_refusal_leaks_evidence_text_or_leaves_a_citation_expectation; caos/tests/spec/test_observability_spec.py::test_no_document_text_ever_reaches_a_log_line; caos/tests/spec/test_budget_spec.py::test_secret_bearing_provider_failure_never_persists_secret_or_evidence_text,LLM07:2025 System Prompt Leakage; ATLAS AML.T0057 LLM Data Leakage,Module output survives only as the strict canonical envelope (invariant 9).,2026-09-03
SEC-017,SEC,"Test requests to call undeclared tools, change route, bypass approval, alter budgets, write files, contact networks, or publish content",retained-test,caos/tests/spec/test_injection_spec.py::test_web_discovery_instruction_cannot_reach_a_second_tool; caos/tests/spec/test_injection_spec.py::test_a_document_cannot_talk_a_blocked_module_into_qa_passed; caos/tests/spec/test_injection_spec.py::test_smuggled_envelope_fields_are_refused_not_ignored; caos/tests/spec/test_runs_spec.py::test_replay_from_same_pinned_sources_and_build_is_equivalent_by_the_same_path; caos/tests/spec/test_budget_spec.py::test_each_ceiling_refuses_the_next_operation_before_overspend; caos/tests/spec/test_research_spec.py::test_resume_cannot_bypass_the_approval_gate; caos/tests/spec/test_publication_spec.py::test_freeze_requires_a_current_opinion_and_refuses_a_stale_one,LLM06:2025 Excessive Agency; ATLAS AML.T0053 LLM Plugin Compromise,"Static route (invariant 10), two host tools only, budgets host-owned (invariant 8), publication analyst- and approver-gated.",2026-09-03
SEC-018,SEC,Test many-shot context stuffing at exact token and evidence-block limits,retained-test,caos/tests/spec/test_evidence_spec.py::test_block_id_count_bounds_are_enforced; caos/tests/spec/test_evidence_spec.py::test_module_delivers_at_most_the_canonical_reference_limit; caos/tests/spec/test_evidence_spec.py::test_an_unbounded_read_loop_is_stopped_by_the_run_evidence_read_ceiling; caos/tests/spec/test_limits_spec.py::test_manifest_block_ceiling_at_and_above_is_refused_before_provider_contact; caos/tests/spec/test_budget_spec.py::test_manifest_exact_boundaries_are_allowed_inclusive; caos/tests/spec/test_budget_spec.py::test_max_tokens_truncation_fails_module_immediately_without_consuming_repair,LLM10:2025 Unbounded Consumption,Ceilings are inclusive and asserted at the exact boundary.,2026-09-03
SEC-019,SEC,"Test poisoned documents that repeat false facts, cite each other, or imitate canonical handoffs",retained-test,"caos/tests/spec/test_injection_spec.py::test_citation_to_an_undelivered_block_is_refused; caos/tests/spec/test_injection_spec.py::test_a_forged_host_contract_inside_a_document_never_becomes_system_authority; caos/tests/corpus/qualify.py (packs C13, C16)",LLM04:2025 Data and Model Poisoning; ATLAS AML.T0020 Poison Training Data (analogue: poisoned evidence),The answer-keyed corpus packs carry the poisoned and imitation documents; their live-model cells are candidate evidence (Task 13).,2026-09-03
SEC-020,SEC,Require host validation to reject a model that follows any document instruction,retained-test,caos/tests/spec/test_injection_spec.py::test_every_forbidden_authority_key_the_document_names_is_refused; caos/tests/spec/test_injection_spec.py::test_smuggled_envelope_fields_are_refused_not_ignored; caos/tests/spec/test_injection_spec.py::test_citation_to_an_undelivered_block_is_refused,LLM01:2025,The provider double obeys every fixture; the assertion is the host's typed refusal (SPEC_RECONCILIATION anti-vacuity ledger).,2026-09-03
SEC-021,SEC,"Scan model output for system-prompt leakage, secrets, personal data, unsafe links, active content, and unexpected code",retained-test,caos/tests/spec/test_http_contracts_spec.py::test_family_models_reject_an_injected_unknown_top_level_key; caos/tests/spec/test_injection_spec.py::test_forged_frontmatter_from_the_document_never_survives_canonicalization; caos/tests/spec/test_observability_spec.py::test_registered_secrets_are_redacted_from_every_string_that_reaches_a_log_line; caos/tests/spec/test_publication_spec.py::test_filed_download_is_audited_and_tampering_is_detected_on_download,LLM02:2025 Sensitive Information Disclosure; LLM05:2025 Improper Output Handling,"Output is a bounded canonical schema with citations only from delivered evidence; no link, script or code field exists on the wire.",2026-09-03
SEC-022,SEC,Test model extraction probes with repeated similar queries and verify rate and audit signals,candidate-harness,"caos/tests/spec/test_misc_spec.py::test_per_subject_rate_ceiling_refuses_and_is_not_shared_between_subjects; qa/capacity.py::profile (repeated reads per subject, 429 counts retained); caos/tests/spec/test_audit_chain_spec.py::test_governed_writes_extend_a_contiguous_per_case_hash_chain",ATLAS AML.T0024 Exfiltration via ML Inference API,The application-side signals are retained; the provider-side extraction signal is BLOCKED EXTERNAL (live provider account).,2026-09-03
SEC-023,SEC,Prove model providers do not train on enterprise test data under the approved account policy,BLOCKED EXTERNAL,none in this tree,LLM02:2025,"Needs the enterprise provider account, its data-use policy and the qualification record (Task 11 harness binds the identity; the policy is an external document).",2026-09-03
SEC-024,SEC,"Verify provider retention, regional routing, encryption, and account isolation settings before corpus use",BLOCKED EXTERNAL,caos/tests/test_provider_identity.py::test_qualified_provider_identity_rechecks_expiry_without_reclassifying_host_controls (the identity and qualification record every run pins),LLM02:2025,Provider settings are outside the tree; the pinned provider identity is what a reviewer verifies them against.,2026-09-03
SEC-025,SEC,"Test egress allowlists so the application can reach only approved provider, identity, scanner, and update endpoints",BLOCKED EXTERNAL,caos/tests/test_user_upload_only.py::test_tracked_product_sources_prohibit_external_filing_acquisition; caos/tests/spec/test_injection_spec.py::test_web_discovery_instruction_cannot_reach_a_second_tool,A05:2021,The application has no acquisition lane and no web tool (invariant 1); the network allowlist is deployment configuration outside the tree.,2026-09-03
SEC-026,SEC,"Test lost, rotated, malformed, and over-privileged secrets",retained-test,caos/tests/test_config_and_vault.py::test_production_fails_closed_without_postgres_and_secrets; caos/tests/test_config_and_vault.py::test_worker_runtime_rejects_missing_or_encoded_placeholder_password; run_sec_audit.py::forged_identity_checks (wrong and missing edge secret → 401); caos/tests/spec/test_observability_spec.py::test_configure_logging_registers_the_settings_secrets,A07:2021 Identification and Authentication Failures,Production refuses placeholder or short secrets at startup; a rotated edge secret is a restart with the new value; the worker holds the minimal secret set (Task 5).,2026-09-03
SEC-027,SEC,"Verify logs, traces, crash reports, test artifacts, and CI output contain no corpus bytes or credentials unless explicitly approved",retained-test,caos/tests/spec/test_observability_spec.py::test_no_document_text_ever_reaches_a_log_line; caos/tests/spec/test_observability_spec.py::test_an_output_validation_failure_never_logs_the_text_it_rejected; caos/tests/spec/test_observability_spec.py::test_worker_failure_logs_the_exception_type_but_never_its_message; caos/tests/test_recorded_review.py::test_planted_block_findings_are_reported_and_fail_the_review (credential redaction in the record),A09:2021 Security Logging and Monitoring Failures,Browser reports retain console error text only; traces are kept on failure and contain page snapshots of synthetic fixtures.,2026-09-03
SEC-028,SEC,Run an authorized API and upload penetration test against the enterprise image,BLOCKED EXTERNAL,none in this tree,A05:2021,"Needs the authorization letter, the tester and the enterprise image at the frozen candidate (Task 13).",2026-09-03
SEC-029,SEC,Map AI findings to relevant MITRE ATLAS techniques and application findings to the adopted OWASP API and web categories,structural,docs/PERIMETER_LEDGER.csv (column atlas_owasp); caos/tests/test_perimeter_ledger.py::test_every_security_row_carries_a_framework_mapping,OWASP API 2023; OWASP Top 10 2021; OWASP LLM 2025; MITRE ATLAS,"OWASP API Security Top 10 (2023), OWASP Top 10 (2021), OWASP LLM Top 10 (2025), MITRE ATLAS.",2026-09-03
SEC-030,SEC,Retest every confirmed security defect with a permanent regression test,retained-test,docs/QUALITY_DEFECTS.csv (column Regression Test); caos/tests/test_perimeter_ledger.py::test_every_fixed_defect_names_a_regression_test_that_exists; caos/tests/test_audit_regressions.py,A08:2021 Software and Data Integrity Failures (regression discipline),D-001–D-012 each name a test or a reproduced gate.,2026-09-03
WEB-001,WEB,"Lint, type-check, unit-test, and build the static frontend from a clean dependency install",release-gate,".github/workflows/ci.yml (job frontend: npm ci, lint --max-warnings=0, tsc --noEmit, test:unit, build)",—,,2026-09-03
WEB-002,WEB,"Run all six document-first pathway journeys in Chromium, Firefox, and WebKit versions approved for the enterprise test",retained-test,"caos/frontend/scripts/workbench-smoke.mjs (CAOS_BROWSER); caos/frontend/scripts/run-browsers.mjs; .github/workflows/ci.yml (job browser, matrix chromium/firefox/webkit)",—,"One Playwright script; traces and screenshots on failure; a structured report per engine under test-results/<browser>/. Engine conventions handled in the harness: WebKit keeps links out of the Tab order (Option+Tab), does not focus buttons on click, logs a CSP refusal for an automation-inserted <style>body {}</style>, and cannot observe route-intercepted downloads.",2026-09-03
WEB-003,WEB,"Test direct navigation, refresh, back, forward, deep links, unknown routes, and expired case context",retained-test,"caos/frontend/scripts/workbench-smoke.mjs (deep links, unknown route, missing case/run authority, browser history with a dirty draft); caos/frontend/src/lib/workspaceAuthority.test.ts",—,,2026-09-03
WEB-004,WEB,"Test loading, empty, unavailable, restricted, stale, failed, paused, succeeded, and partial-data states",retained-test,"caos/frontend/scripts/a11y-axe.mjs (states empty, populated, review, filed, loading, error, refusal); caos/frontend/scripts/workbench-smoke.mjs (unavailable routes, reader restriction, stale authority, failed/paused/succeeded runs, controlled 503)",—,,2026-09-03
WEB-005,WEB,"Test Server-Sent Event reconnect, duplicate event, out-of-order response, and long-running stream behavior",retained-test,caos/tests/spec/test_http_contracts_spec.py::test_run_events_sse_tails_the_event_log_with_last_event_id_resume; caos/frontend/src/lib/workspaceAuthority.test.ts; caos/frontend/scripts/workbench-smoke.mjs (event-driven refetch through a live run),—,"The frontend never reads event payloads; every event triggers a refetch, so duplicates and reordering are idempotent by construction.",2026-09-03
WEB-006,WEB,"Test all forms with keyboard, screen reader, zoom at 200% and 400%, reduced motion, forced colors, and high contrast",manual-checklist,"caos/frontend/scripts/a11y-axe.mjs (200% desktop-zoom viewport, keyboard tab checks); caos/frontend/scripts/workbench-smoke.mjs (keyboard journeys, focus return); qa/INVENTORY.md (manual criteria); ENTERPRISE_TESTING_READINESS.md REV-*",—,"Screen reader, 400% reflow, reduced motion and forced colors are the candidate's manual review (Task 13).",2026-09-03
WEB-007,WEB,Run an automated WCAG 2.1 AA scan on every destination and major state,retained-test,"caos/frontend/scripts/a11y-axe.mjs (9 routes × 6 viewports + pending-plan, ready-model, ready-report fixtures + review, filed, loading, error, refusal states, 0 violations)",—,CI browser job (chromium leg) and nightly.,2026-09-03
WEB-008,WEB,"Manually test accessible names, focus order, focus restoration, landmarks, headings, tables, errors, status announcements, dialogs, and tabs",manual-checklist,"caos/frontend/scripts/a11y-axe.mjs (tab order in Model Builder and Report Studio); caos/frontend/scripts/workbench-smoke.mjs (focus restoration after dialogs and history, status announcements); qa/INVENTORY.md",—,The automated half is retained; the screen-reader pass is the candidate's manual review.,2026-09-03
WEB-009,WEB,Prevent color-only status and preserve readable contrast in exported and browser content,retained-test,caos/frontend/scripts/a11y-axe.mjs (axe color-contrast rule over every combination); caos/tests/spec/test_publication_goldens_spec.py; DESIGN.md (semantic colour law),—,,2026-09-03
WEB-010,WEB,"Test dense tables with horizontal scroll, sticky labels, long values, nulls, large numbers, and narrow screens",retained-test,"caos/frontend/scripts/a11y-axe.mjs (page-horizontal-scroll check at 720 px, ready-model worksheet fixture); caos/frontend/scripts/workbench-smoke.mjs (intake evidence at 200% width)",—,,2026-09-03
WEB-011,WEB,"Test download names, media types, content disposition, cache behavior, and digest display",retained-test,caos/tests/spec/test_publication_spec.py::test_filed_download_is_audited_and_tampering_is_detected_on_download; caos/tests/spec/test_model_builder_spec.py::test_http_revision_download_serves_the_verified_export; caos/tests/spec/test_model_builder_spec.py::test_model_reads_are_case_scoped_and_downloads_are_verified; caos/frontend/scripts/workbench-smoke.mjs (filing receipt and digest display),—,"Known gap (CLAUDE.md): the deliverable export serves application/octet-stream for every format. The download behaviour (server Content-Disposition with the native hint removed, exact filename) is Chromium and Firefox evidence; WebKit under Playwright cannot observe a route-intercepted download, so the WebKit download path is real-Safari candidate evidence.",2026-09-03
