Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
F-SEC-05,Validation errors never echo rejected input,As a security owner I want boundary-refused bytes never reflected back through the response encoder.,"The RequestValidationError handler rebuilds each error as {loc,msg,type} only; the offending input value is dropped.",Lone surrogate in a focus question; control characters; oversized string.,test_state_spec.py::test_focus_questions_reject_surrogates_at_the_api_contract; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,,2026-08-30
F-SEC-06,Framework docs closed in production,"As a security owner I want /docs, /redoc and /openapi.json absent in production so the API-discovery surface is not widened.",create_app passes docs_url/redoc_url/openapi_url=None when environment=production; app.openapi() still works in-process for the contract tests.,Development serves all three; production serves none; custom_openapi still injects unrouted schemas.,test_http_contracts_spec.py; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,Verified live: dev serves /openapi.json and /docs (200/200); production serves neither (404/404).,2026-08-30
F-SEC-07,Unicode boundary on pinned text,"As an auditor I want every string that can enter pinned state to be UTF-8-clean, control-free and NFC-normalised before any digest is taken.",contracts.validate_boundary_text rejects unencodable code points and control characters (except \n\r\t) and NFC-normalises. Applied to focus questions at the API contract.,Lone surrogate; NUL byte; decomposed vs composed forms hashing identically; tab/newline allowed.,test_state_spec.py::test_case_and_note_text_is_boundary_validated_at_the_api_contract (added this session); test_state_spec.py::test_unicode_boundary_rejects_unencodable_pinned_strings; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,1,High," Re-verified after the ordering fix: control chars refused, NFC folded, non-str input still fails as string_type, lone surrogates refused by the str parse. Known and unchanged: only C0 (< U+0020) is treated as a control character, so DEL, the C1 block, zero-width spaces and bidi overrides are all still admitted - see Remaining Risks. D-011 fixed: the boundary validator now covers bytes, which pydantic coerces to str after the validator would otherwise have run.",2026-08-30
F-SEC-08,Strict wire contract,As an integrator I want every JSON success to serve a named strict model so nothing undeclared is ever served or accepted.,Every request model derives from StrictModel (extra=forbid) and every JSON route declares a response_model from responses.py. SSE and binary downloads are the only exemptions (OPENAPI_EXEMPT).,Unknown field in any request body -> 422; response key sets pinned in test_http_contracts_spec.py.,test_http_contracts_spec.py (26 tests); documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,,2026-08-30
F-CASE-01,Create case,"As an analyst I want to create a case for an issuer so I have a governed container for sources, runs and deliverables.","POST /api/cases, 201, CaseDetailResponse. Body CreateCaseRequest: name 1..160, issuer 1..160, sector <=120 defaulting to Unclassified. Requires a global writer role (READER refused 403) because the creator is stored as case ANALYST. Response carries source_count=0 and deep_research_available=false.",Empty name; 161-char issuer; missing sector; extra field; READER caller.,test_state_spec.py::test_case_and_note_text_is_boundary_validated_at_the_api_contract (added this session); test_http_contracts_spec.py case tests; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe and live server on :8011],PASS,4,Medium,"D-002/D-003 fixed: name/issuer/sector are now BoundaryText (control chars refused, NFC-folded). Regression: test_case_and_note_text_is_boundary_validated_at_the_api_contract. D-005 also fixed: the boundary transform now runs before min_length/max_length, so a declared bound cannot be exceeded by NFC expansion. D-011 also covers this field set.",2026-08-30
F-CASE-02,List cases,As an analyst I want to list only the cases I am a member of.,GET /api/cases returns list[CaseResponse] scoped to store.list_cases(subject). Each row is enriched with source_count from the current source set.,No cases; case with a withdrawn-only source set; another member's case absent.,documented scenarios (no dedicated test file) [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,1,High, D-012 fixed: the case-list route no longer loads evidence blocks to compute the fit signal (100 ms -> 19 ms on a 20-case fixture).,2026-08-30
F-CASE-03,Read case detail,As an analyst I want a case detail read that tells me its source count and whether Deep Research is available here.,GET /api/cases/{case_id} -> CaseDetailResponse. deep_research_available is hard-false with a fixed reason string in this deployment.,Unknown case -> 404; non-member -> 404 (identical).,documented scenarios (no dedicated test file) [executed 2026-08-30 by the repo suite (425 passed) plus live server on :8011],PASS,0,-,,2026-08-30
F-CASE-04,Case issuer lens,As an analyst I want the case lens to show issuer identity plus the visible snapshot's authority identifiers.,"GET /api/cases/{case_id}/lens -> CaseLensResponse {issuer, sector, accepted_snapshot_id, source_set:{version}}. The visible lens follows the accepted pointer until an explicit switch pins one.",No accepted snapshot (nulls); pinned visible snapshot older than accepted.,documented scenarios (no dedicated test file) [executed 2026-08-30 by the repo suite (425 passed) plus live server on :8011],PASS,0,-,,2026-08-30
F-SRC-01,Upload a source,As an analyst I want to upload a document into a case so it becomes pinned evidence.,"POST /api/cases/{case_id}/sources (multipart, field 'file'), 201 SourceResponse with the new source_set. Admission lives only in sources.domain.ingest_upload. Missing/str 'file' field -> 422.",Missing file field; string field instead of upload; filename with a path (basename taken); no content-type.,test_misc_spec.py::test_source_route_admission_refusals_reach_the_wire (added this session); test_source_ingestion.py (20 tests); documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe and live server on :8011],PASS,0,-,,2026-08-30
F-SRC-02,Source type allowlist,As a security owner I want only credit-document types admitted.,"ALLOWED_SUFFIXES = .pdf .xlsx .json .txt .md .csv, matched on the lower-cased suffix of the basename. Anything else is 415 'unsupported source type'.",Upper-case .PDF; double extension a.pdf.exe; no extension; .zip.,test_misc_spec.py::test_source_route_admission_refusals_reach_the_wire (added this session); test_source_ingestion.py::test_unsupported_type_is_rejected_415; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,,2026-08-30
F-SRC-03,Upload size ceilings,As an operator I want two distinct ceilings so the route refuses far below the transport cap.,The route reads max_bytes+1 and answers 413 above MAX_SOURCE_MB (25 MB default); MAX_UPLOAD_MB (32) is the edge body cap. Settings.from_env refuses MAX_SOURCE_MB > MAX_UPLOAD_MB or <= 0.,Exactly at the ceiling (accepted); one byte over (413); misconfigured env at startup.,test_source_ingestion.py::test_oversize_upload_is_rejected_413; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,,2026-08-30
F-SRC-04,Evidence-free refusal,As an analyst I want a source with no extractable evidence refused before it can join a source set.,"Zero bytes -> 422 'source is empty'. Whitespace-only txt/md, comma-only csv, empty/blank JSON container, and an all-blank workbook -> 422 'source contains no extractable evidence'. No source row and no source-set version is created.",CSV of only commas and quotes; JSON null; JSON {}; workbook with sheets but no values.,test_misc_spec.py::test_source_route_admission_refusals_reach_the_wire (added this session); test_source_ingestion.py::test_evidence_free_*; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,,2026-08-30
F-SRC-05,Malware scanning,As a security owner I want uploads scanned before they are stored.,scan_content refuses the EICAR marker anywhere in the bytes (422). Outside production that is the whole check. In production an unset CLAMAV_HOST is 503; a socket error is 503; a FOUND verdict is 422; an unrecognised verdict is 503.,EICAR embedded mid-file; production without a scanner; scanner timeout.,test_misc_spec.py::test_source_route_admission_refusals_reach_the_wire (added this session); test_source_ingestion.py::test_eicar_content_is_rejected; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,,2026-08-30
F-SRC-06,Archive bomb and traversal guards,As a security owner I want zip-container uploads (xlsx) checked before extraction.,"validate_archive runs on any PK-prefixed content: >2000 entries, >100 MB uncompressed, ratio >100x overall or per entry, absolute or ..-containing entry names, and a corrupt central directory each give 422.",xlsx with 2001 entries; 1000x ratio single entry; entry named ../x; truncated zip.,test_misc_spec.py::test_source_route_admission_refusals_reach_the_wire (added this session); test_source_ingestion.py archive tests; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,,2026-08-30
F-SRC-07,Per-type text extraction,As an analyst I want each supported type reduced to quotable text deterministically.,"JSON: strict parse rejecting NaN/Infinity, overflowing floats and duplicate keys, then re-dumped sorted with indent 2. PDF: pypdf; a valid PDF with no text layer stores a fixed placeholder line. XLSX: per-sheet tab-joined rows with [sheet:NAME] headers, capped at 64 sheets / 25000 rows / 64 columns / MAX_SOURCE_TEXT. txt/md/csv: UTF-8 decode or 422.",1e999 in JSON; duplicate keys; scanned PDF; 65-sheet workbook; latin-1 text.,test_source_ingestion.py extraction tests; documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,,2026-08-30
F-SRC-08,Bounded evidence-block packing,As an analyst I want big documents indexed into a bounded number of quotable blocks so a run manifest stays affordable.,"pack_blocks: one block per non-blank line while fragments <= 320 (builtin-v1, locator {line:n}, ids bNNNNN); above that, lines are grouped to a computed width in [4000, 20000] chars (builtin-v2, locator {lines:[first,last]}). Any line wider than MAX_BLOCK_CHARS is split into bNNNNNpPP parts, never refused. Text over MAX_SOURCE_TEXT (12 MB) is refused.",Exactly 320 fragments (stays v1); 321 (switches to v2); single 1 MB line; empty text -> single empty placeholder block.,"test_source_ingestion.py::test_over_wide_line_is_split*, ::test_large_document_keeps_block_count*; documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed]",PASS,0,-,,2026-08-30
F-SRC-09,Content-addressed vault write,As an auditor I want stored bytes addressed by digest and written atomically.,"Vault.put verifies sha256 before writing, writes a temp file with O_EXCL + fsync then os.replace, and short-circuits when the target already exists. A digest mismatch raises.",Concurrent identical put; digest mismatch; pre-existing target.,test_config_and_vault.py (6 tests); documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,,2026-08-30
F-SRC-10,Duplicate active content,"As an analyst I want the same bytes refused while already active, and admitted again after withdrawal.",store.ingest raises 'source content already active' -> 409. After withdrawal the same digest may be re-ingested and mints a new identity.,Same bytes different filename; re-upload after withdraw.,test_source_ingestion.py::test_duplicate_active_content_rejected_and_withdrawal_reopens; documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,,2026-08-30
F-SRC-11,Source reads hide storage-private fields,As a security owner I want vault paths never served.,"_wire_source projects a fixed key set (id, case_id, filename, media_type, bytes, sha256, created_by, created_at, withdrawn, blocks, optional source_kind/source_set); vault_path is not among them. Route: /api/cases/{case_id}/sources/{source_id}.",List and detail reads; a source with source_kind set.,test_source_ingestion.py::test_public_source_reads_hide_storage_private_fields; documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,,2026-08-30
F-SRC-12,Withdraw a source,As an analyst I want to withdraw a source so no new run or citation can use it.,POST .../sources/{source_id}/withdraw is idempotent: an already-withdrawn source returns its current record; an unknown id or a foreign case is 404. Withdrawal stales citing assumptions and bans new citations. Route: /api/cases/{case_id}/sources/{source_id}/withdraw.,Double withdraw; withdraw during a parked run; foreign case id.,test_store.py::test_withdrawal_stales_citing_assumptions_and_bans_new_citations; test_evidence_spec.py::test_withdrawal_while_parked_at_interrupt_is_banned_on_resume; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,,2026-08-30
F-SRC-13,Source-set versioning,"As an auditor I want every ingest and withdrawal to mint an immutable, versioned membership set.",Each governed source mutation commits a new source_set version whose id pins membership; the source row and its containing set commit in one transaction.,First ingest is version 1; rollback on persistence failure leaves no orphan; withdrawal bumps the version.,test_store.py::test_source_set_id_pins_immutable_membership; test_source_ingestion.py::test_ingestion_rolls_back_atomically_when_persistence_fails; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus live server on :8011],PASS,0,-,,2026-08-30
F-SRC-14,Pathway fit signal,As an analyst I want the case to tell me whether its sources support the pathway I want to run.,sources.domain.pathway_fit derives a fit verdict and message from the distinct source types present; surfaced on CaseResponse.pathway_fit.,No sources (NEEDS_SOURCE); only a workbook; mixed types.,test_misc_spec.py::test_case_response_carries_the_pathway_fit_signal (added this session) [executed 2026-08-30 by the repo suite (428 passed) plus live server on :8011],PASS,2,High,"D-004 FIXED (previously waived): the case wire now carries pathway_fit {fit, message}. Verified live - a fresh case reads NEEDS_SOURCE with the upload prompt, and after one upload it reads READY. The Cases screen panel renders a real signal instead of 'Fit unavailable'. D-012 fixed: pathway_fit reads filenames only, via DomainStore.list_source_filenames. The served fit value is now Literal-typed on the wire.",2026-08-30
F-NOTE-01,Create a case note,As an analyst I want to record a working note against a case.,"POST /api/cases/{case_id}/notes, 201 NoteResponse. Body 1..12000 chars. Write authority required.",Empty body; 12001 chars; extra field.,test_state_spec.py::test_case_and_note_text_is_boundary_validated_at_the_api_contract (added this session); documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,3,Medium,D-002 fixed: note body is now BoundaryText. Same regression test. D-005 also fixed here (same BoundaryText ordering change). D-011 also covers this field.,2026-08-30
F-NOTE-02,List case notes,As an analyst I want to read every note on a case.,"GET /api/cases/{case_id}/notes -> list[NoteResponse], membership required.",No notes; non-member 404.,documented scenarios (no dedicated test file) [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,,2026-08-30
F-NOTE-03,Promote a note to evidence,"As an analyst I want to promote a note so it becomes citable, content-addressed evidence.","POST .../notes/{note_id}/promote. Idempotent and content-addressed. Unknown note -> 404; an invalid promotion -> 409. Promotion after withdrawal mints a new identity without resurrecting the old one, and rolls back atomically on downstream failure. Route: /api/cases/{case_id}/notes/{note_id}/promote.",Double promote; promote after source withdrawal; downstream failure mid-promotion.,"test_store.py::test_note_promotion_is_idempotent_and_content_addressed, ::test_promotion_after_withdrawal_mints_new_identity_without_resurrection, ::test_promotion_rolls_back_atomically_on_downstream_failure; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe]",PASS,0,-,,2026-08-30
F-RV-01,Save a quick RV universe,As an analyst I want to paste a small comparables table so I can screen relative value.,"POST /api/cases/{case_id}/rv, 201 RVUniverseVersionResponse. 1..500 rows; issuer/instrument 1..160; currency is a 3-letter code upper-cased on validation; price/yield/spread/duration optional floats.",0 rows; 501 rows; currency 'usd' normalised; currency 'US'; non-finite numbers.,test_misc_spec.py::test_rv_quick_rows_refuse_non_finite_numbers (added this session); documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,2,High,D-001 fixed: RVQuickRow now refuses non-finite floats and boundary-validates issuer/instrument. Regression: test_rv_quick_rows_refuse_non_finite_numbers.,2026-08-30
F-RV-02,Read the RV workspace,As an analyst I want to read back the saved RV universe.,GET /api/cases/{case_id}/rv -> {universe} (null when none saved).,Never saved; after several saves returns the current version.,documented scenarios (no dedicated test file) [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,,2026-08-30
F-LU-01,Import a loan universe workbook,"As an analyst I want an uploaded loan workbook parsed into a versioned, digest-pinned universe.","POST .../rv/loan-universes with {source_id}. 201 on a new import, 200 when the identical universe already exists. Unknown source -> 404 RV_SOURCE_NOT_FOUND; other source errors -> 409; a workbook failing validation -> 422 RV_WORKBOOK_INVALID carrying universe_id and findings. Route: /api/cases/{case_id}/rv/loan-universes.",Re-import of identical bytes (200); withdrawn source; non-xlsx source; workbook with structural findings.,test_loan_universe_spec.py (23 tests); documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,,2026-08-30
F-LU-02,Read the active loan universe,As an analyst I want the active universe and its rows in one read.,"GET .../rv/loan-universes/active -> {status:'ACTIVE', universe, rows} or {status:'NO_ACTIVE_UNIVERSE', universe:null, rows:[]}. Route: /api/cases/{case_id}/rv/loan-universes/active.",No import yet; after a superseding import.,test_loan_universe_spec.py; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,,2026-08-30
F-LU-03,Loan workbook validation findings,As an analyst I want a rejected workbook to tell me exactly which cells failed.,"artifacts.loan_universe.import_loan_source raises LoanUniverseImportRejected carrying a findings list of {code, detail, sheet, row, column}.",Missing required column; unparsable date; non-numeric price; empty sheet.,test_loan_universe_spec.py; documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,,2026-08-30
F-RUN-01,Start a run,As an analyst I want to start a run on a chosen pathway and depth so the module route executes against my pinned sources.,"POST /api/cases/{case_id}/runs, 201 CanonicalRunResponse. StartRunRequest: pathway must be one of the six PATHWAYS; depth in {screen,full}; up to 5 focus questions of <=400 chars each, boundary-validated. DEEP_RESEARCH requires full depth and a research_brief; every other pathway must not carry one. ValueError -> 422; ADMISSION_BUSY -> 409.",Unknown pathway; 6 focus questions; a 401-char question; DEEP_RESEARCH at screen depth; research_brief on FULL_CREDIT.,test_state_spec.py::test_case_and_note_text_is_boundary_validated_at_the_api_contract (added this session; focus_questions share the boundary type); test_runs_spec.py (22 tests); documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe and live server on :8011],PASS,1,-,"Verified live: unknown pathway, unknown depth and DEEP_RESEARCH at screen depth all 422. D-005 also fixed here: focus_questions carried the same normalize-after-the-bound ordering through its own field_validator and now uses the annotated item type.",2026-08-30
F-RUN-02,Static route compilation,"As an auditor I want the node set and edges to be a pure function of (pathway, depth) with no data-selected edges.","engine.graphs.compiled_route compiles the verified vendored catalog into a RouteGraph (nodes, edges, stages); it is lru_cached per (pathway, depth, root). route_from_plan reconstructs the same shape from a stored plan.",Same inputs twice are identical; screen vs full differ; an unknown pathway raises.,test_modules_spec.py; test_module_wiring.py; documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,,2026-08-30
F-RUN-03,Plan gate and source-set pinning,As an analyst I want the immutable plan returned immediately and the run pinned to the source set as of that moment.,"start_run drives through the gate node only (interrupt_after=['gate']), pinning the current source set and returning the plan. The serving entrypoint calls enable_auto_continue() to schedule the rest; tests use engine.wait(run_id).",Case with no sources; source added after pinning is invisible to the run; two event loops driving one run is forbidden.,test_runs_spec.py gate tests; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus live server on :8011],PASS,0,-,,2026-08-30
F-RUN-04,Run read projection,"As an analyst I want a run read that shows plan, node states, events and live generation metering.","GET /api/runs/{run_id} -> CanonicalRunResponse projected by _wire_run over a fixed key set, with current_node_id derived from the first running node and canonical_generation added when a budget exists (phase, model, budget_limits/used over the 8 dimensions, inflight_request_digest, attempts, completed_modules).",Run with no budget (no canonical_generation key); failed run carries error; nodes list empty.,test_runs_spec.py; test_http_contracts_spec.py; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus live server on :8011],PASS,0,-,,2026-08-30
F-RUN-05,Run event stream,As an analyst I want live run progress without polling the whole record.,"GET /api/runs/{run_id}/events is an SSE tail of the append-only run_events log: id: carries the per-run monotonic seq, Last-Event-ID resumes without replay, keepalive comments every 15s idle, and the stream closes once a terminal run is fully delivered. Cache-Control: no-store.",Non-integer Last-Event-ID (treated as 0); reconnect mid-run; terminal run streams remaining events then closes; client disconnect.,test_runs_spec.py SSE tests; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus live server on :8011],PASS,0,-,"Verified live on a real run: full tail 11 events, Last-Event-ID 5 resumes with 6, garbage/negative fall back to full replay, no content-encoding on the stream, cache-control no-store.",2026-08-30
F-RUN-06,Resume a run,"As an analyst I want a stalled run to resume from its last checkpoint, never restart.",POST /api/runs/{run_id}/resume requires write authority and returns the run. A resume ticket makes racing resumes single-effect; a stale or late resume returns a typed RESUME_NOT_APPLIED.,Two concurrent resumes; resume of a terminal run; resume after a source withdrawal (evidence bans apply).,"test_state_spec.py::test_resume_ticket_makes_racing_resumes_single_effect, ::test_stale_or_late_resume_returns_typed_not_applied; documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed]",PASS,0,-,,2026-08-30
F-RUN-07,Upgrade a screen run to full,As an analyst I want to deepen a screening run without losing its lineage.,POST /api/runs/{run_id}/upgrade returns a run carrying upgraded_from_run_id.,Upgrade of an already-full run; upgrade of a failed run; upgrade twice.,test_runs_spec.py upgrade tests; documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,,2026-08-30
F-RUN-08,Accept a run into a snapshot,As an analyst I want to accept a completed run so its artifacts become the case's cited authority.,"POST /api/runs/{run_id}/accept -> SnapshotResponse. A run that is not ready raises RuntimeError with a code -> 409 (default RUN_NOT_READY). The snapshot pins run_id, source_set_id/version, the artifact digest list, previous_snapshot_id and its own digest.",Accept a running run; accept twice; accept a failed run.,test_runs_spec.py accept tests; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus live server on :8011],PASS,0,-,"E2E verified live: a screen EARNINGS_UPDATE run (CP-PARSE, CP-0, CP-L10, CP-5 all succeeded) accepted into a 4-artifact snapshot.",2026-08-30
F-RUN-09,Budget envelope and fail-closed ceilings,As an operator I want every run bounded so no provider call happens without a reservation.,"route_envelope derives limits purely from (compiled route, registry) over 8 dimensions. Each ceiling refuses the next operation before overspend; reconcile corrects used to actual after the call.",Zero agent modules; ceiling reached exactly; a refused reservation leaves no partial charge.,test_budget_spec.py (18 tests); test_finalization_metering.py (7); documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,,2026-08-30
F-RUN-10,Validated evidence reads,As an auditor I want every read_evidence validated at the host boundary and refused with a typed error that returns no text.,"Reads outside the pinned source set, of a source withdrawn after pinning, of an unknown block, with duplicate block ids, or beyond the block-count bound all fail closed with no text. Returned rows carry provenance and the delivered set is the citation contract; evidence_bytes is measured on the tool-result serialization.",Read after withdrawal; unknown block id; duplicate ids in one call; count over the bound; ceiling-refused read leaves no citation expectation.,test_evidence_spec.py (10 tests); documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,,2026-08-30
