sim_id,condition,seam,tests,injected_fault,expected_outcome,actual_outcome,post_restart_state,status,recorded
SIM-021,Vault byte changes after upload,vault bytes replaced after ingest,caos/tests/test_source_ingestion.py::test_existing_source_vault_corruption_is_never_reused_or_read;caos/tests/spec/test_runs_spec.py::test_acceptance_rejects_corrupted_uploaded_source_bytes;caos/tests/spec/test_deliverables_spec.py::test_gate_recomputes_stored_digest_and_refuses_tampered_frozen_content,stored source bytes or frozen content changed under their recorded digest,Digest verification blocks every derived use,"re-use, read, acceptance and filing refuse typed",n/a,PASS,2026-09-03
SIM-022,"Checkpoint file is absent, truncated, locked, or corrupt","checkpoint file deleted, truncated or overwritten after kill-after-two-modules; exclusive OS lock held by another process",caos/tests/spec/test_simulations_spec.py::test_sim_022_absent_checkpoint_recovers_from_domain_truth_without_re_executing_finished_modules;caos/tests/spec/test_simulations_spec.py::test_sim_022_truncated_or_corrupt_checkpoint_refuses_startup_without_inventing_progress;caos/tests/test_single_instance.py::test_checkpoint_lock_refuses_a_second_holder_and_releases_on_exit;caos/tests/test_single_instance.py::test_a_second_dev_server_on_the_same_data_directory_fails_startup_and_never_serves,"checkpoints.db removed; truncated to 512 bytes; overwritten with random bytes; lock file held by a second process",Startup refuses or recovers without inventing progress,"absent: recover() re-admits from domain truth, finished modules relinked (execution count 1) and only the unfinished ones run; truncated/corrupt: recover() raises sqlite3.DatabaseError, readiness reports checkpointer false, status/events/artifacts unchanged, no provider contact; locked: INSTANCE_ALREADY_RUNNING before serving",absent: succeeded once after recovery; damaged: unchanged until the operator restores the file,PASS,2026-09-03
SIM-023,Disk becomes full during vault or export write,os.fsync raising ENOSPC under the vault put and the export publish,caos/tests/spec/test_simulations_spec.py::test_sim_023_disk_full_during_the_vault_write_leaves_no_source_and_no_partial_file;caos/tests/spec/test_simulations_spec.py::test_sim_023_disk_full_during_the_export_write_finalizes_the_job_failed_with_no_frozen_record,ENOSPC on the fsync of the temporary file,No partial object is recorded as complete,"vault: no file (temporary unlinked), no source row, no set, retry succeeds; export: job FAILED DELIVERABLE_RENDER_FAILED, no frozen record, no export file, retry requeues and publishes",n/a,PASS,2026-09-03
SIM-024,"Provider returns timeout, disconnect, 429, 500, 401, 403, 422, redirect, malformed usage, or malformed output",FaultingHostControl raising the fault from create_message; scripted malformed usage and truncation,caos/tests/spec/test_simulations_spec.py::test_sim_024_provider_failures_end_typed_sanitized_and_bounded;caos/tests/spec/test_budget_spec.py::test_malformed_or_zero_usage_is_output_invalid_with_reservation_unresolved;caos/tests/spec/test_budget_spec.py::test_max_tokens_truncation_fails_module_immediately_without_consuming_repair;caos/tests/spec/test_budget_spec.py::test_timeout_retry_must_be_byte_identical_and_single,"TimeoutError twice; ConnectionResetError; RuntimeError 429/500/307; PermissionError 401/403; ValueError 422; zero or malformed usage; max_tokens truncation",Bounded retry policy and typed sanitized terminal outcome,"timeout: one byte-identical retry then AGENT_PROVIDER_TIMEOUT; every other transport or status failure: CANONICAL_GENERATION_FAILED after exactly one call; malformed usage/output: AGENT_OUTPUT_INVALID; the provider's message never persisted; terminal attempt recorded; checkpoints deleted",n/a (terminal),PASS,2026-09-03
SIM-025,Server-Sent Event connection drops and reconnects,SSE tail re-read with Last-Event-ID; stream slot cap,caos/tests/spec/test_http_contracts_spec.py::test_run_events_sse_tails_the_event_log_with_last_event_id_resume;caos/tests/spec/test_misc_spec.py::test_concurrent_stream_slots_are_capped_and_always_returned,client reconnects with the last delivered id; slots exhausted and released,Missed events replay once and current state converges,resume delivers exactly the events after the cursor; a terminal tail closes; slots are always returned,n/a,PASS,2026-09-03
SIM-026,Browser receives an older response after case or run switch,workspace authority reducer generations,caos/frontend/src/lib/workspaceAuthority.test.ts::rejects a previous-generation completion for the same case and run;caos/frontend/src/lib/workspaceAuthority.test.ts::rejects a stale failed request,a completion or failure from a previous authority generation arrives after a switch,Authority generation discards the stale response,stale completions and failures are rejected by the reducer,n/a,PASS,2026-09-03
SIM-027,Wall clock moves backward or forward,storage now_iso monkeypatched to jump years back and forward between writes,caos/tests/spec/test_simulations_spec.py::test_sim_027_a_wall_clock_jump_never_reorders_events_or_charges_time_twice;caos/tests/spec/test_state_spec.py::test_single_time_authority_survives_a_day_boundary,wall-clock timestamps out of order across a whole run,Ordering and budget calculations remain valid through monotonic time,"events ordered by seq not by clock, run succeeded once, active time charged from the monotonic clock and never negative",n/a,PASS,2026-09-03
SIM-028,Enterprise identity provider or malware scanner is unavailable,clamd address that refuses connections in production settings; missing or forged trusted identity headers,caos/tests/spec/test_simulations_spec.py::test_sim_028_an_unreachable_malware_scanner_refuses_the_upload_with_an_actionable_status;caos/tests/spec/test_misc_spec.py::test_client_role_header_cannot_escalate_in_production;caos/tests/spec/test_misc_spec.py::test_edge_scrubs_every_identity_header_the_app_trusts,scanner connection refused; identity headers absent or client-supplied,Protected work fails closed with an actionable status,"upload refused 503 'malware scanner unavailable', no source row, nothing unscanned in the vault; production identity without the trusted edge is 401 and a client role header never escalates",n/a,PASS,2026-09-03
SIM-029,LibreOffice hangs or exits nonzero,pango-view subprocess raising TimeoutExpired; workbook renderer raising,caos/tests/spec/test_simulations_spec.py::test_sim_029_a_hanging_pdf_renderer_finalizes_the_freeze_failed_without_a_published_digest;caos/tests/spec/test_publication_spec.py::test_a_rendering_failure_leaves_a_typed_failed_job_and_no_frozen_record,renderer subprocess hangs past its timeout; renderer crashes,Export finalizes failed without a published digest,"job FAILED DELIVERABLE_RENDER_FAILED with deliverable_id None, no frozen record, no PDF in the vault, retry requeues and publishes. LibreOffice is installed in the worker image but runtime exports use the Python renderer and pango-view; the hang seam is the subprocess renderer",n/a,PASS,2026-09-03
SIM-030,Repeated restart loop during active work,kill-after-modules with an increasing count across a fresh Engine per restart,caos/tests/spec/test_simulations_spec.py::test_sim_030_a_restart_loop_during_active_work_recovers_idempotently_and_bounded,one restart per module of the full FULL_CREDIT route,Recovery remains idempotent and bounded,"after every restart no module count exceeds 1 and at most one terminal event exists","final recovery: succeeded once, every module exactly once, turns == provider calls across all restarts, checkpoints deleted",PASS,2026-09-03
