check_id,family,section,condition,result,evidence,owner,notes
UX-011,UX,Test the document-first experience,"Present facts, machine analysis, analyst edits, analyst opinion, limitations, and approval state as distinct content",PASS,artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json; artifact:gates/frontend-unit.txt; junit:caos.tests.spec.test_deliverables_spec::test_full_credit_draft_composes_one_governed_decision_document; junit:caos.tests.spec.test_deliverables_spec::test_optional_generated_blocks_become_locked_document_appendices; junit:caos.tests.spec.test_publication_spec::test_frozen_payload_carries_the_signed_opinion_and_the_signer; junit:caos.tests.spec.test_deliverables_spec::test_declared_limitations_slot_saves_without_model_identity_on_optional_pathway,,"Smoke L2015-2032 asserts the frozen paper renders 'Accepted Analysis' (facts/machine output, locked), 'Analyst Snapshot' (analyst edit), 'Analyst Opinion', 'Opinion Sign-Off' rows (Limitations, Signed by, Approval state PENDING APPROVAL) and 'Control Status' as separate sections; unit tests 'only analyst-owned editable text can be overlaid by draft blocks' and 'the structured document is safe and keeps generated content read-only'. Caveat: the Report Studio half of the smoke runs against route-mocked fixtures; the real payload composition is proven by the backend tests cited."
UX-012,UX,Test the document-first experience,"Expose no LLM/provider picker in the enterprise MVP; preserve signed financial-model selection, scenario, revision, and sign-off controls",OPEN,junit:caos.tests.spec.test_http_contracts_spec::test_client_cannot_enable_the_placeholder_deterministic_test_seam; junit:caos.tests.test_single_instance::test_production_builds_only_the_exact_qualified_anthropic_binding; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json; artifact:gates/frontend-unit.txt,decision owner (new candidate),"Second half proven: model selection/preview/sign-off, scenario registry, revision and opinion sign-off are driven in the smoke (L1128-1270, L1967-2010) and unit tests ('model sign-off is one ordered approval sequence', 'Scenario registry is build-bound', 'the opinion is signed on the exact saved revision'). Provider binding is server-owned (client cannot select an executor; production builds only the qualified binding). Missing: no retained assertion states that no LLM/provider picker exists on any workbench surface; the smoke only asserts no pathway picker/combobox on the intake panel. Add one absent-control assertion (e.g. no combobox naming provider/model on cases, run-console, model-builder, report-studio)."
UX-013,UX,Test the document-first experience,Preserve the same workflow and controls for every qualified model choice,PROVED HOST CONTROL,junit:caos.tests.spec.test_runs_spec::test_node_set_and_edges_are_a_pure_function_of_pathway_and_depth; junit:caos.tests.test_corpus_pathways::test_supported_routes_complete_host_path_on_30_document_upload; artifact:gates/qualification/host-control-matrix.txt; artifact:gates/corpus-full.txt; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json,enterprise test owner (live credential) / model risk,"The route is a pure function of (pathway, depth) independent of provider, and the same workflow completes under the answer-keyed host-control binding on every route at both depths. Only one qualified live binding can exist (exact Anthropic pair) and it is BLOCKED EXTERNAL, so no second 'qualified model choice' has been exercised; nothing here compares controls across live models."
UX-014,UX,Test the document-first experience,"Protect unsaved analyst edits during navigation, refresh, reconnect, and browser history changes",PASS,artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json; artifact:gates/frontend-unit.txt,,"Smoke L1300-1400: dirty Model Builder draft blocks case switch, internal link, command-palette navigation and window.history.back() with the 'Discard draft changes?' dialog; cancel restores URL, value (0.06) and focus; confirm traverses exactly one history boundary. Smoke L1799-1826: Report Studio recovery copy in localStorage survives a stale server (reconnect) and 'Retry save now' saves it with the original CAS base. Unit tests: 'draft navigation uses one focus-returning native dialog and preserves beforeunload' (refresh/close), 'draft link interception accepts only an unmodified primary same-tab gesture', 'external history writes preserve application state without bypassing Next URL restore', 'unsaved report work has a scoped non-authoritative recovery copy and automatic retry'. Refresh is covered by the beforeunload unit test, not by a browser reload with a dirty draft."
UX-015,UX,Test the document-first experience,Let a reader inspect evidence and run history without exposing write controls,PASS,artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json; junit:caos.tests.spec.test_runs_spec::test_case_reader_cannot_start_or_upgrade_and_outsiders_see_nothing; junit:caos.tests.spec.test_deliverables_spec::test_case_reader_reads_workspace_but_cannot_write_draft; junit:caos.tests.spec.test_loan_universe_spec::test_loan_universe_api_is_case_scoped_and_reader_safe; junit:caos.tests.spec.test_intake_spec::test_the_intake_route_is_a_writer_action_and_a_case_member_boundary,,"Smoke L2256-2295 opens a READER context: case register rows readable, 'Create case'/'Analyze documents'/'Upload and version'/file inputs/'Compile and run'/'Accept analytical snapshot'/'Upload CP-3 workbook'/'File exact Frozen version' all absent, run console shows 'Acceptance is an analyst action.', and the same holds when /api/me fails. Server side: reader reads the workspace and universe but every write is 403; intake is 403 for readers."
UX-016,UX,Test the document-first experience,Let an analyst review and sign an opinion without exposing approver-only filing controls,PASS,junit:caos.tests.spec.test_publication_spec::test_the_opinion_signer_and_the_freeze_actor_cannot_file_their_own_output; junit:caos.tests.spec.test_deliverables_spec::test_http_filing_gate_denies_outsiders_404_readers_403_analysts_403_for_every_global_role; junit:caos.tests.spec.test_publication_spec::test_opinion_signoff_is_an_append_only_expected_head_cas_bound_to_the_exact_revision; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json; artifact:gates/frontend-unit.txt,,Analyst signs the opinion on the exact saved revision (smoke L1967-2010 fills Rationale etc. and asserts the frozen record binds the signer); filing is refused for analysts (403) and for the signer/freeze actor (APPROVER_NOT_INDEPENDENT); smoke L2034-2042 and unit 'the opinion signer and the freeze actor never see a File control for their own output' prove the File control is absent for them.
UX-017,UX,Test the document-first experience,Let an approver compare the exact frozen preview before filing,PASS,artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json; artifact:gates/frontend-unit.txt; junit:caos.tests.spec.test_deliverables_spec::test_approval_binds_exact_preview_digest_and_fingerprint_mismatch_leaves_frozen_retryable; junit:caos.tests.spec.test_deliverables_spec::test_filed_exports_are_byte_exact_sha_verified_and_never_rerendered; junit:caos.tests.spec.test_deliverables_spec::test_approval_leaves_frozen_content_bit_identical_and_appends_one_audit_event,,"Smoke L2015-2032 renders the 'Frozen Deliverable preview' from the frozen payload (canonical sections, watermark on every page, no bypass of canonical sections) before the approver files (L2066-2084, receipt shown); unit 'Draft and Frozen review render the same canonical governed document'. Backend: approval binds the exact preview digest + input fingerprint and the filed bytes are the frozen bytes."
UX-018,UX,Test the document-first experience,Complete the golden journey with keyboard-only operation,OPEN,artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json; artifact:gates/browser/a11y-rerun.txt,REV-010 accessibility reviewer,"Partial: the smoke submits the intake with Enter (L609-611), reaches the skip link as first Tab stop and moves focus into main (L1017-1022), drives Model Builder tabs with Arrow/Home/End (L1243-1259) and dialogs with Escape with focus-return checks; the a11y sweep runs 3 tab-navigation checks each on Model Builder and Report Studio. Missing: no retained run completes the golden journey (drop, open review, accept, sign, freeze, file) with the keyboard alone; most journey actions use .click(). REV-010 (manual keyboard-only over every destination and state) is OUTSTANDING."
UX-019,UX,Test the document-first experience,Complete the golden journey at desktop and supported narrow-screen widths,OPEN,artifact:gates/browser/a11y-rerun.txt; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json,REV-010 accessibility reviewer,"Partial: the journey completes at 1440x1000 (smoke) and the a11y sweep scans 9 routes at 1280/1366/1440/1600/1920 and 720 (1440 at 200% zoom) with 0 violations including page-horizontal-scroll; after each smoke stage the page is re-checked at 720 for overflow (intake manifest L636-639, Model Builder, Report Studio, Sources, Deep-Dive). Missing: no journey action (drop, approve, sign, file) is performed at a narrow width, DESIGN.md declares no supported narrow-screen width, and REV-010's 400% reflow check is OUTSTANDING."
UX-020,UX,Test the document-first experience,"Surface typed failures without raw provider, database, secret, stack, or rejected-input content",PASS,junit:caos.tests.spec.test_simulations_spec::test_sim_024_provider_failures_end_typed_sanitized_and_bounded[429]; junit:caos.tests.spec.test_simulations_spec::test_sim_024_provider_failures_end_typed_sanitized_and_bounded[redirect]; junit:caos.tests.spec.test_simulations_spec::test_sim_010_database_unavailable_before_a_write_is_typed_and_leaves_no_partial_file; junit:caos.tests.spec.test_evidence_spec::test_the_run_error_surface_carries_a_code_and_never_a_message; junit:caos.tests.spec.test_state_spec::test_focus_questions_reject_surrogates_at_the_api_contract; junit:caos.tests.spec.test_observability_spec::test_registered_secrets_are_redacted_from_every_string_that_reaches_a_log_line; junit:caos.tests.spec.test_observability_spec::test_worker_failure_logs_the_exception_type_but_never_its_message; junit:caos.tests.spec.test_intake_spec::test_an_execution_refusal_keeps_the_pack_admitted_with_a_typed_code; artifact:gates/frontend-unit.txt,,"Provider error bodies (secret token, redirect host) never persisted; DB outage is {code: STORE_UNAVAILABLE} with no driver text; run error is {code, module_id} only; rejected surrogate input is not echoed by the validation handler; secrets redacted and worker exceptions logged by class only; provider absence is the typed AGENT_PROVIDER_UNAVAILABLE on the intake wire. Frontend unit tests 'api never serves a raw object or validation detail as its message' and 'a server code is never presented as a raw identifier'."
SRC-001,SRC,Test source intake and evidence preparation,Accept every declared supported type with valid evidence,OPEN,junit:caos.tests.test_source_ingestion::test_valid_no_text_pdf_is_accepted; junit:caos.tests.test_source_ingestion::test_non_empty_xlsx_is_accepted; junit:caos.tests.test_source_ingestion::test_json_scalar_values_are_accepted; junit:caos.tests.spec.test_intake_spec::test_golden_pack_creates_the_case_admits_every_file_and_starts_full_credit; junit:caos.tests.test_corpus_pathways::test_user_uploaded_document_is_admitted_with_blocks[CCL_2024_form_10K.pdf],decision owner (new candidate),"Declared types are pdf, xlsx, json, txt, md, csv (ALLOWED_SUFFIXES). Acceptance is proven for pdf, xlsx, json and txt; no retained passed test admits a valid .md or .csv source (both appear only in rejection tests: evidence-free and non-UTF-8). Add one acceptance case each for .md and .csv."
SRC-002,SRC,Test source intake and evidence preparation,"Reject an unsupported extension, media type, signature, or extension-content mismatch",OPEN,junit:caos.tests.test_source_ingestion::test_unsupported_type_is_rejected_415; junit:caos.tests.spec.test_misc_spec::test_source_route_admission_refusals_reach_the_wire; junit:caos.tests.spec.test_http_contracts_spec::test_upload_route_enforces_the_same_admission_as_the_ingestion_helper; junit:caos.tests.test_source_ingestion::test_invalid_pdf_is_rejected; junit:caos.tests.spec.test_intake_spec::test_one_refused_file_refuses_the_whole_pack_and_admits_nothing[bad_file1-415],decision owner (new candidate),"Proven: unsupported extension is 415 at the helper, the source route and the intake; .pdf/.xlsx suffixes with non-PDF/non-workbook bytes are refused by the parser (422). Not proven and not implemented: admission keys on the filename suffix only, the client media type is stored unverified (SPEC_RECONCILIATION 'Filename and media type are not BoundaryText') and no byte-signature sniff exists, so a media-type mismatch or a text file carrying another format's signature is not refused."
SRC-003,SRC,Test source intake and evidence preparation,Reject zero-byte and evidence-free files before any source or source-set mutation,PASS,junit:caos.tests.test_source_ingestion::test_zero_byte_source_is_rejected_before_source_set_creation; junit:caos.tests.test_source_ingestion::test_evidence_free_text_csv_and_xlsx_are_rejected; junit:caos.tests.test_source_ingestion::test_evidence_free_json_values_are_rejected[{}]; junit:caos.tests.test_source_ingestion::test_evidence_free_json_values_are_rejected[null]; junit:caos.tests.spec.test_intake_spec::test_one_refused_file_refuses_the_whole_pack_and_admits_nothing[bad_file2-422]; junit:caos.tests.spec.test_intake_spec::test_a_refused_pack_into_an_existing_case_leaves_its_source_set_untouched,,"assert_rejected asserts 422 and that the current source set is unchanged after the refusal (no source, no set delta); the intake refuses the whole pack with no case and only an intake.refused audit row, and an existing case's set stays byte-identical."
SRC-004,SRC,Test source intake and evidence preparation,"Reject invalid UTF-8, duplicate JSON keys, non-finite JSON values, and over-range numbers",PASS,"junit:caos.tests.test_source_ingestion::test_non_utf8_text_sources_are_rejected[bad.txt]; junit:caos.tests.test_source_ingestion::test_non_utf8_text_sources_are_rejected[bad.csv]; junit:caos.tests.test_source_ingestion::test_duplicate_json_keys_are_rejected[{""a"":1,""a"":2}]; junit:caos.tests.test_source_ingestion::test_duplicate_json_keys_are_rejected[{""outer"":{""a"":1,""a"":2}}]; junit:caos.tests.test_source_ingestion::test_non_finite_json_values_are_rejected[{""amount"":NaN}]; junit:caos.tests.test_source_ingestion::test_non_finite_json_values_are_rejected[{""amount"":1e999}]",,"Invalid UTF-8 in txt/md/csv, duplicate keys at top level and nested, NaN/Infinity/-Infinity and over-range 1e999/-1e999 are all 422 with no source-set delta."
SRC-005,SRC,Test source intake and evidence preparation,"Preserve finite zero, false, blank optional cells, signs, units, currencies, periods, entities, and definitions",OPEN,junit:caos.tests.test_source_ingestion::test_json_scalar_values_are_accepted; junit:caos.tests.spec.test_loan_universe_spec::test_blank_optional_cells_remain_null; junit:caos.tests.spec.test_loan_universe_spec::test_visible_rows_map_with_source_units_and_locators_while_hidden_sheets_never_appear; junit:caos.tests.spec.test_intake_spec::test_golden_pack_creates_the_case_admits_every_file_and_starts_full_credit; junit:caos.tests.spec.test_misc_spec::test_rv_currency_normalized_before_comparability_and_invalid_codes_rejected,decision owner (new candidate),"Proven: finite zero and false are admitted as JSON sources; blank optional workbook cells stay null (never zero); source units (size_mn, margin_bps) preserved; reporting periods and issuer entity derived on the intake wire; RV currency codes validated. Not directly asserted: preservation of signs (negative values), currencies on ingested evidence, and definitions through extraction. Needs a fixture asserting sign/currency/definition text survives block extraction byte-for-byte (the over-wide-line test proves no character is dropped, but not these classes specifically)."
SRC-006,SRC,Test source intake and evidence preparation,Accept a structurally valid textless PDF and record the lack of a text layer,PASS,junit:caos.tests.test_source_ingestion::test_valid_no_text_pdf_is_accepted; junit:caos.tests.spec.test_intake_spec::test_a_textless_pdf_alone_is_admitted_and_returns_one_typed_clarification,,"A structurally valid PDF with no text layer is admitted (source-set v1) and the intake records it as disposition 'insufficient' with the typed INTAKE_EVIDENCE_INSUFFICIENT clarification while keeping the scan in the set (classify.py sets text_layer False / signal no_text_layer, which drives that disposition)."
SRC-007,SRC,Test source intake and evidence preparation,Reject malformed PDF structures and parser exceptions without partial state,PASS,junit:caos.tests.test_source_ingestion::test_invalid_pdf_is_rejected; junit:caos.tests.spec.test_intake_spec::test_one_refused_file_refuses_the_whole_pack_and_admits_nothing[bad_file0-422]; junit:caos.tests.spec.test_intake_spec::test_a_refused_pack_into_an_existing_case_leaves_its_source_set_untouched; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json,,Malformed PDF bytes are 422 with no source-set delta; in a pack the malformed member refuses everything and leaves an existing case's set and current run unchanged; the smoke's refused pack creates no case. extract_blocks turns every parser exception into the typed 422 before any store write.
SRC-008,SRC,Test source intake and evidence preparation,"Reject active workbook content, external relationships, unsafe package parts, and formula execution",OPEN,junit:caos.tests.spec.test_loan_universe_spec::test_unsafe_package_parts_reject_before_workbook_parsing; junit:caos.tests.spec.test_loan_universe_spec::test_external_relationship_with_xml_whitespace_is_rejected; junit:caos.tests.spec.test_loan_universe_spec::test_relationships_part_declaring_a_dtd_is_refused_without_expanding_it; junit:caos.tests.spec.test_loan_universe_spec::test_formula_without_cached_value_becomes_null_without_execution,decision owner (new candidate),"Proven for the loan-universe (CP-3) importer only: externalLinks parts, external relationships, DTD-bearing parts and macro/vba content types are refused before parsing and formulas are never evaluated. The general XLSX source path (sources/domain.py extract_blocks) has no package screening beyond the zip traversal/bomb guards: an .xlsx carrying external relationships or unsafe parts is admitted as evidence. No retained test covers that path."
SRC-009,SRC,Test source intake and evidence preparation,"Treat an uncached spreadsheet formula as null, not as a calculated value",OPEN,junit:caos.tests.spec.test_loan_universe_spec::test_formula_without_cached_value_becomes_null_without_execution,decision owner (new candidate),"Proven for the loan-universe importer (data_only load, formula cell -> null, never evaluated). The general XLSX source extractor loads data_only=False and emits the formula string as cell text; that is not a calculated value but it is not null either, and no retained test asserts either behaviour on that path. CLAUDE.md records the silent null import as an open product decision."
SRC-010,SRC,Test source intake and evidence preparation,Exclude hidden sheets and columns when the contract requires visible evidence only,OPEN,junit:caos.tests.spec.test_loan_universe_spec::test_visible_rows_map_with_source_units_and_locators_while_hidden_sheets_never_appear,decision owner (new candidate),Hidden sheets are excluded by the loan-universe importer (sheet_state != visible skipped; 'Hidden' rows never appear). Hidden columns are not handled anywhere (loan_universe.py checks sheet_state only) and no test asserts their exclusion; the general XLSX extractor iterates every worksheet regardless of visibility (no contract requires visible-only there).
SRC-011,SRC,Test source intake and evidence preparation,"Enforce row, column, sheet, line, source-byte, block-count, and total-text ceilings at exact boundaries",OPEN,junit:caos.tests.spec.test_limits_spec::test_source_size_ceiling_below_at_and_above_refuses_before_scan_or_vault; junit:caos.tests.spec.test_limits_spec::test_manifest_block_ceiling_at_and_above_is_refused_before_provider_contact; junit:caos.tests.spec.test_limits_spec::test_intake_file_ceiling_at_and_above_refuses_before_any_admission; junit:caos.tests.test_source_ingestion::test_xlsx_extraction_caps_fail_closed; junit:caos.tests.test_source_ingestion::test_text_beyond_the_extraction_ceiling_is_still_refused; junit:caos.tests.test_source_ingestion::test_over_wide_line_is_split_into_bounded_blocks_rather_than_refused; artifact:gates/stack/capacity-limits.json,decision owner (new candidate),"Exact below/at/above proven for source bytes (in-process and over HTTP), manifest block rows and intake file count. Row and sheet caps are proven only above the (monkeypatched) ceiling; the column cap (MAX_XLSX_EXTRACT_COLUMNS) and the total-text ceiling are proven above only; the line ceiling is a split, not a refusal, proven for > MAX_BLOCK_CHARS but not at exactly MAX_BLOCK_CHARS. Add at-boundary admission cases for rows, columns, sheets, line width and total text."
SRC-012,SRC,Test source intake and evidence preparation,Reject a source that would require truncation rather than ingesting a prefix,PASS,junit:caos.tests.test_source_ingestion::test_text_beyond_the_extraction_ceiling_is_still_refused; junit:caos.tests.test_source_ingestion::test_oversize_upload_is_rejected_413; junit:caos.tests.test_source_ingestion::test_xlsx_extraction_caps_fail_closed; junit:caos.tests.test_source_ingestion::test_over_wide_line_is_split_into_bounded_blocks_rather_than_refused; junit:caos.tests.test_source_ingestion::test_large_document_keeps_block_count_inside_the_run_manifest_ceiling,,Text over MAX_SOURCE_TEXT is 422 (never a prefix); an upload over max_bytes is 413 (the reader takes max+1 and refuses); XLSX over its row/sheet caps is 422; where a document is kept it is kept whole (split and grouped blocks re-join to the exact original text).
